item_id,target,matrix_male,local_male,matrix_female,local_female,matrix_frame,embedded_verb
1,herself,David,Peter,Susan,Rebecca,believes that,blamed
2,himself,Ben,Michael,Rachel,Rebecca,heard that,praised
3,herself,Peter,Robert,Laura,Sarah,believes that,humiliated
4,herself,Daniel,James,Emma,Laura,believes that,defended
5,herself,John,Tom,Anna,Susan,thinks that,praised
6,herself,James,Tom,Susan,Sarah,thinks that,criticized
7,herself,Robert,Bill,Hannah,Emily,thinks that,embarrassed
8,himself,Michael,Bill,Sarah,Emily,said that,admired
9,himself,James,Michael,Emily,Rachel,heard that,criticized
10,himself,James,John,Hannah,Rachel,said that,defended
11,herself,John,Peter,Rebecca,Sarah,thinks that,criticized
12,herself,Michael,David,Laura,Hannah,believes that,blamed
13,herself,Tom,Robert,Sarah,Susan,said that,blamed
14,himself,Bill,John,Emma,Rachel,heard that,admired
15,himself,Bill,Daniel,Mary,Emily,thinks that,photographed
16,himself,John,Michael,Anna,Mary,believes that,admired
17,herself,Daniel,David,Rebecca,Emma,said that,embarrassed
18,himself,Ben,Daniel,Emma,Hannah,believes that,criticized
19,herself,Robert,James,Susan,Laura,believes that,praised
20,himself,Tom,James,Sarah,Hannah,believes that,humiliated
21,himself,Peter,David,Anna,Emma,said that,photographed
22,himself,Tom,Peter,Sarah,Rebecca,thinks that,praised
23,herself,David,Bill,Laura,Emma,said that,admired
24,himself,Peter,Ben,Rachel,Anna,thinks that,photographed
25,herself,Michael,Daniel,Mary,Emma,heard that,photographed
26,herself,Robert,Ben,Rebecca,Anna,thinks that,humiliated
27,himself,John,James,Hannah,Laura,heard that,embarrassed
28,himself,James,Robert,Rachel,Sarah,heard that,blamed
29,himself,Daniel,John,Emily,Mary,said that,defended
30,herself,Ben,John,Emma,Mary,said that,embarrassed
31,herself,David,Ben,Emily,Anna,heard that,humiliated
32,himself,Bill,Tom,Mary,Susan,heard that,defended
