item_id,condition,sentence,target,surprisal
1,+Local+Matrix,Susan believes that Rebecca blamed herself.,herself,5.5
1,+Local-Matrix,David believes that Rebecca blamed herself.,herself,5.59375
1,-Local+Matrix,Susan believes that Peter blamed herself.,herself,9.125
1,-Local-Matrix,David believes that Peter blamed herself.,herself,11.5625
2,+Local+Matrix,Ben heard that Michael praised himself.,himself,10.9375
2,+Local-Matrix,Rachel heard that Michael praised himself.,himself,11.875
2,-Local+Matrix,Ben heard that Rebecca praised himself.,himself,10.4375
2,-Local-Matrix,Rachel heard that Rebecca praised himself.,himself,17.0
3,+Local+Matrix,Laura believes that Sarah humiliated herself.,herself,7.53125
3,+Local-Matrix,Peter believes that Sarah humiliated herself.,herself,9.125
3,-Local+Matrix,Laura believes that Robert humiliated herself.,herself,7.8125
3,-Local-Matrix,Peter believes that Robert humiliated herself.,herself,11.3125
4,+Local+Matrix,Emma believes that Laura defended herself.,herself,2.53125
4,+Local-Matrix,Daniel believes that Laura defended herself.,herself,1.890625
4,-Local+Matrix,Emma believes that James defended herself.,herself,6.71875
4,-Local-Matrix,Daniel believes that James defended herself.,herself,8.5
5,+Local+Matrix,Anna thinks that Susan praised herself.,herself,7.03125
5,+Local-Matrix,John thinks that Susan praised herself.,herself,10.3125
5,-Local+Matrix,Anna thinks that Tom praised herself.,herself,7.46875
5,-Local-Matrix,John thinks that Tom praised herself.,herself,10.5625
6,+Local+Matrix,Susan thinks that Sarah criticized herself.,herself,10.4375
6,+Local-Matrix,James thinks that Sarah criticized herself.,herself,12.0625
6,-Local+Matrix,Susan thinks that Tom criticized herself.,herself,9.4375
6,-Local-Matrix,James thinks that Tom criticized herself.,herself,16.375
7,+Local+Matrix,Hannah thinks that Emily embarrassed herself.,herself,3.609375
7,+Local-Matrix,Robert thinks that Emily embarrassed herself.,herself,2.53125
7,-Local+Matrix,Hannah thinks that Bill embarrassed herself.,herself,7.40625
7,-Local-Matrix,Robert thinks that Bill embarrassed herself.,herself,9.25
8,+Local+Matrix,Michael said that Bill admired himself.,himself,9.375
8,+Local-Matrix,Sarah said that Bill admired himself.,himself,9.4375
8,-Local+Matrix,Michael said that Emily admired himself.,himself,9.75
8,-Local-Matrix,Sarah said that Emily admired himself.,himself,13.375
9,+Local+Matrix,James heard that Michael criticized himself.,himself,9.75
9,+Local-Matrix,Emily heard that Michael criticized himself.,himself,10.5625
9,-Local+Matrix,James heard that Rachel criticized himself.,himself,10.8125
9,-Local-Matrix,Emily heard that Rachel criticized himself.,himself,14.9375
10,+Local+Matrix,James said that John defended himself.,himself,1.3515625
10,+Local-Matrix,Hannah said that John defended himself.,himself,2.4375
10,-Local+Matrix,James said that Rachel defended himself.,himself,7.0
10,-Local-Matrix,Hannah said that Rachel defended himself.,himself,9.1875
