item_id,condition,sentence,target,surprisal,Head_Match,Distractor_Match
1,+Head+Distractor,The mothers of the boys humiliated themselves.,themselves,6.6875,+Head,+Distractor
1,+Head-Distractor,The mothers of the boy humiliated themselves.,themselves,11.0625,+Head,-Distractor
1,-Head+Distractor,The mother of the boys humiliated themselves.,themselves,8.5,-Head,+Distractor
1,-Head-Distractor,The mother of the boy humiliated themselves.,themselves,16.25,-Head,-Distractor
2,+Head+Distractor,The teachers of the students embarrassed themselves.,themselves,7.03125,+Head,+Distractor
2,+Head-Distractor,The teachers of the student embarrassed themselves.,themselves,8.125,+Head,-Distractor
2,-Head+Distractor,The teacher of the students embarrassed themselves.,themselves,8.8125,-Head,+Distractor
2,-Head-Distractor,The teacher of the student embarrassed themselves.,themselves,11.0,-Head,-Distractor
3,+Head+Distractor,The friends of the actors criticized themselves.,themselves,9.0625,+Head,+Distractor
3,+Head-Distractor,The friends of the actor criticized themselves.,themselves,10.4375,+Head,-Distractor
3,-Head+Distractor,The friend of the actors criticized themselves.,themselves,11.1875,-Head,+Distractor
3,-Head-Distractor,The friend of the actor criticized themselves.,themselves,14.1875,-Head,-Distractor
4,+Head+Distractor,The neighbors of the doctors blamed themselves.,themselves,7.3125,+Head,+Distractor
4,+Head-Distractor,The neighbors of the doctor blamed themselves.,themselves,6.40625,+Head,-Distractor
4,-Head+Distractor,The neighbor of the doctors blamed themselves.,themselves,9.8125,-Head,+Distractor
4,-Head-Distractor,The neighbor of the doctor blamed themselves.,themselves,11.375,-Head,-Distractor
5,+Head+Distractor,The sisters of the managers praised themselves.,themselves,7.625,+Head,+Distractor
5,+Head-Distractor,The sisters of the manager praised themselves.,themselves,8.1875,+Head,-Distractor
5,-Head+Distractor,The sister of the managers praised themselves.,themselves,10.875,-Head,+Distractor
5,-Head-Distractor,The sister of the manager praised themselves.,themselves,13.8125,-Head,-Distractor
6,+Head+Distractor,The colleagues of the lawyers questioned themselves.,themselves,10.0,+Head,+Distractor
6,+Head-Distractor,The colleagues of the lawyer questioned themselves.,themselves,9.375,+Head,-Distractor
6,-Head+Distractor,The colleague of the lawyers questioned themselves.,themselves,12.8125,-Head,+Distractor
6,-Head-Distractor,The colleague of the lawyer questioned themselves.,themselves,16.125,-Head,-Distractor
7,+Head+Distractor,The assistants of the professors defended themselves.,themselves,5.65625,+Head,+Distractor
7,+Head-Distractor,The assistants of the professor defended themselves.,themselves,5.21875,+Head,-Distractor
7,-Head+Distractor,The assistant of the professors defended themselves.,themselves,8.375,-Head,+Distractor
7,-Head-Distractor,The assistant of the professor defended themselves.,themselves,11.4375,-Head,-Distractor
8,+Head+Distractor,The cousins of the musicians reassured themselves.,themselves,6.0,+Head,+Distractor
8,+Head-Distractor,The cousins of the musician reassured themselves.,themselves,6.6875,+Head,-Distractor
8,-Head+Distractor,The cousin of the musicians reassured themselves.,themselves,11.0625,-Head,+Distractor
8,-Head-Distractor,The cousin of the musician reassured themselves.,themselves,12.8125,-Head,-Distractor
9,+Head+Distractor,The fans of the singers challenged themselves.,themselves,6.6875,+Head,+Distractor
9,+Head-Distractor,The fans of the singer challenged themselves.,themselves,6.53125,+Head,-Distractor
9,-Head+Distractor,The fan of the singers challenged themselves.,themselves,7.875,-Head,+Distractor
9,-Head-Distractor,The fan of the singer challenged themselves.,themselves,12.0,-Head,-Distractor
10,+Head+Distractor,The relatives of the patients criticized themselves.,themselves,12.625,+Head,+Distractor
10,+Head-Distractor,The relatives of the patient criticized themselves.,themselves,11.5625,+Head,-Distractor
10,-Head+Distractor,The relative of the patients criticized themselves.,themselves,9.8125,-Head,+Distractor
10,-Head-Distractor,The relative of the patient criticized themselves.,themselves,13.4375,-Head,-Distractor
11,+Head+Distractor,The fathers of the girls congratulated themselves.,themselves,4.5625,+Head,+Distractor
11,+Head-Distractor,The fathers of the girl congratulated themselves.,themselves,5.125,+Head,-Distractor
11,-Head+Distractor,The father of the girls congratulated themselves.,themselves,11.1875,-Head,+Distractor
11,-Head-Distractor,The father of the girl congratulated themselves.,themselves,13.4375,-Head,-Distractor
12,+Head+Distractor,The brothers of the dancers challenged themselves.,themselves,5.40625,+Head,+Distractor
12,+Head-Distractor,The brothers of the dancer challenged themselves.,themselves,6.8125,+Head,-Distractor
12,-Head+Distractor,The brother of the dancers challenged themselves.,themselves,10.5,-Head,+Distractor
12,-Head-Distractor,The brother of the dancer challenged themselves.,themselves,13.0,-Head,-Distractor
13,+Head+Distractor,The partners of the designers praised themselves.,themselves,7.875,+Head,+Distractor
13,+Head-Distractor,The partners of the designer praised themselves.,themselves,9.5,+Head,-Distractor
13,-Head+Distractor,The partner of the designers praised themselves.,themselves,10.9375,-Head,+Distractor
13,-Head-Distractor,The partner of the designer praised themselves.,themselves,13.0625,-Head,-Distractor
14,+Head+Distractor,The lawyers of the politicians reassured themselves.,themselves,5.5,+Head,+Distractor
14,+Head-Distractor,The lawyers of the politician reassured themselves.,themselves,6.53125,+Head,-Distractor
14,-Head+Distractor,The lawyer of the politicians reassured themselves.,themselves,9.0,-Head,+Distractor
14,-Head-Distractor,The lawyer of the politician reassured themselves.,themselves,13.0,-Head,-Distractor
15,+Head+Distractor,The advisors of the scientists blamed themselves.,themselves,6.5,+Head,+Distractor
15,+Head-Distractor,The advisors of the scientist blamed themselves.,themselves,7.4375,+Head,-Distractor
15,-Head+Distractor,The advisor of the scientists blamed themselves.,themselves,8.875,-Head,+Distractor
15,-Head-Distractor,The advisor of the scientist blamed themselves.,themselves,11.0625,-Head,-Distractor
16,+Head+Distractor,The teachers of the researchers questioned themselves.,themselves,9.875,+Head,+Distractor
16,+Head-Distractor,The teachers of the researcher questioned themselves.,themselves,7.15625,+Head,-Distractor
16,-Head+Distractor,The teacher of the researchers questioned themselves.,themselves,10.75,-Head,+Distractor
16,-Head-Distractor,The teacher of the researcher questioned themselves.,themselves,12.25,-Head,-Distractor
17,+Head+Distractor,The friends of the doctors congratulated themselves.,themselves,5.125,+Head,+Distractor
17,+Head-Distractor,The friends of the doctor congratulated themselves.,themselves,5.90625,+Head,-Distractor
17,-Head+Distractor,The friend of the doctors congratulated themselves.,themselves,7.40625,-Head,+Distractor
17,-Head-Distractor,The friend of the doctor congratulated themselves.,themselves,11.875,-Head,-Distractor
18,+Head+Distractor,The neighbors of the students embarrassed themselves.,themselves,6.21875,+Head,+Distractor
18,+Head-Distractor,The neighbors of the student embarrassed themselves.,themselves,6.75,+Head,-Distractor
18,-Head+Distractor,The neighbor of the students embarrassed themselves.,themselves,7.8125,-Head,+Distractor
18,-Head-Distractor,The neighbor of the student embarrassed themselves.,themselves,10.5,-Head,-Distractor
19,+Head+Distractor,The sisters of the actors praised themselves.,themselves,8.1875,+Head,+Distractor
19,+Head-Distractor,The sisters of the actor praised themselves.,themselves,9.0625,+Head,-Distractor
19,-Head+Distractor,The sister of the actors praised themselves.,themselves,11.25,-Head,+Distractor
19,-Head-Distractor,The sister of the actor praised themselves.,themselves,14.875,-Head,-Distractor
20,+Head+Distractor,The colleagues of the managers congratulated themselves.,themselves,6.1875,+Head,+Distractor
20,+Head-Distractor,The colleagues of the manager congratulated themselves.,themselves,8.5625,+Head,-Distractor
20,-Head+Distractor,The colleague of the managers congratulated themselves.,themselves,8.625,-Head,+Distractor
20,-Head-Distractor,The colleague of the manager congratulated themselves.,themselves,13.0,-Head,-Distractor
21,+Head+Distractor,The assistants of the researchers questioned themselves.,themselves,8.875,+Head,+Distractor
21,+Head-Distractor,The assistants of the researcher questioned themselves.,themselves,8.875,+Head,-Distractor
21,-Head+Distractor,The assistant of the researchers questioned themselves.,themselves,10.625,-Head,+Distractor
21,-Head-Distractor,The assistant of the researcher questioned themselves.,themselves,12.8125,-Head,-Distractor
22,+Head+Distractor,The cousins of the teachers protected themselves.,themselves,5.875,+Head,+Distractor
22,+Head-Distractor,The cousins of the teacher protected themselves.,themselves,5.6875,+Head,-Distractor
22,-Head+Distractor,The cousin of the teachers protected themselves.,themselves,7.8125,-Head,+Distractor
22,-Head-Distractor,The cousin of the teacher protected themselves.,themselves,10.75,-Head,-Distractor
23,+Head+Distractor,The fans of the actors protected themselves.,themselves,6.28125,+Head,+Distractor
