item_id,head_singular,head_plural,distractor_singular,distractor_plural,embedded_verb,target,condition,head_match,distractor_match,sentence
1,mother,mothers,boy,boys,humiliated,themselves,+Head+Distractor,1,1,The mothers of the boys humiliated themselves.
1,mother,mothers,boy,boys,humiliated,themselves,+Head-Distractor,1,0,The mothers of the boy humiliated themselves.
1,mother,mothers,boy,boys,humiliated,themselves,-Head+Distractor,0,1,The mother of the boys humiliated themselves.
1,mother,mothers,boy,boys,humiliated,themselves,-Head-Distractor,0,0,The mother of the boy humiliated themselves.
2,teacher,teachers,student,students,embarrassed,themselves,+Head+Distractor,1,1,The teachers of the students embarrassed themselves.
2,teacher,teachers,student,students,embarrassed,themselves,+Head-Distractor,1,0,The teachers of the student embarrassed themselves.
2,teacher,teachers,student,students,embarrassed,themselves,-Head+Distractor,0,1,The teacher of the students embarrassed themselves.
2,teacher,teachers,student,students,embarrassed,themselves,-Head-Distractor,0,0,The teacher of the student embarrassed themselves.
3,friend,friends,actor,actors,criticized,themselves,+Head+Distractor,1,1,The friends of the actors criticized themselves.
3,friend,friends,actor,actors,criticized,themselves,+Head-Distractor,1,0,The friends of the actor criticized themselves.
3,friend,friends,actor,actors,criticized,themselves,-Head+Distractor,0,1,The friend of the actors criticized themselves.
3,friend,friends,actor,actors,criticized,themselves,-Head-Distractor,0,0,The friend of the actor criticized themselves.
4,neighbor,neighbors,doctor,doctors,blamed,themselves,+Head+Distractor,1,1,The neighbors of the doctors blamed themselves.
4,neighbor,neighbors,doctor,doctors,blamed,themselves,+Head-Distractor,1,0,The neighbors of the doctor blamed themselves.
4,neighbor,neighbors,doctor,doctors,blamed,themselves,-Head+Distractor,0,1,The neighbor of the doctors blamed themselves.
4,neighbor,neighbors,doctor,doctors,blamed,themselves,-Head-Distractor,0,0,The neighbor of the doctor blamed themselves.
5,sister,sisters,manager,managers,praised,themselves,+Head+Distractor,1,1,The sisters of the managers praised themselves.
5,sister,sisters,manager,managers,praised,themselves,+Head-Distractor,1,0,The sisters of the manager praised themselves.
5,sister,sisters,manager,managers,praised,themselves,-Head+Distractor,0,1,The sister of the managers praised themselves.
