item_id,head_singular,head_plural,distractor_singular,distractor_plural,embedded_verb,target
1,mother,mothers,boy,boys,humiliated,themselves
2,teacher,teachers,student,students,embarrassed,themselves
3,friend,friends,actor,actors,criticized,themselves
4,neighbor,neighbors,doctor,doctors,blamed,themselves
5,sister,sisters,manager,managers,praised,themselves
6,colleague,colleagues,lawyer,lawyers,questioned,themselves
7,assistant,assistants,professor,professors,defended,themselves
8,cousin,cousins,musician,musicians,reassured,themselves
9,fan,fans,singer,singers,challenged,themselves
10,relative,relatives,patient,patients,criticized,themselves
11,father,fathers,girl,girls,congratulated,themselves
12,brother,brothers,dancer,dancers,challenged,themselves
13,partner,partners,designer,designers,praised,themselves
14,lawyer,lawyers,politician,politicians,reassured,themselves
15,advisor,advisors,scientist,scientists,blamed,themselves
16,teacher,teachers,researcher,researchers,questioned,themselves
17,friend,friends,doctor,doctors,congratulated,themselves
18,neighbor,neighbors,student,students,embarrassed,themselves
19,sister,sisters,actor,actors,praised,themselves
20,colleague,colleagues,manager,managers,congratulated,themselves
21,assistant,assistants,researcher,researchers,questioned,themselves
22,cousin,cousins,teacher,teachers,protected,themselves
23,fan,fans,actor,actors,protected,themselves
24,relative,relatives,doctor,doctors,humiliated,themselves
25,father,fathers,student,students,challenged,themselves
26,brother,brothers,musician,musicians,defended,themselves
27,partner,partners,lawyer,lawyers,reassured,themselves
28,advisor,advisors,professor,professors,blamed,themselves
29,mother,mothers,dancer,dancers,embarrassed,themselves
30,teacher,teachers,singer,singers,defended,themselves
31,friend,friends,designer,designers,protected,themselves
32,neighbor,neighbors,musician,musicians,criticized,themselves
