item_id,condition,sentence,target,surprisal
1,+Local+Matrix,Susan believes that Rebecca blamed herself.,herself,5.018765926361084
1,+Local-Matrix,David believes that Rebecca blamed herself.,herself,6.035989761352539
1,-Local+Matrix,Susan believes that Peter blamed herself.,herself,7.029728889465332
1,-Local-Matrix,David believes that Peter blamed herself.,herself,9.950990676879883
2,+Local+Matrix,Ben heard that Michael praised himself.,himself,6.461876392364502
2,+Local-Matrix,Rachel heard that Michael praised himself.,himself,8.07604694366455
2,-Local+Matrix,Ben heard that Rebecca praised himself.,himself,9.218489646911621
2,-Local-Matrix,Rachel heard that Rebecca praised himself.,himself,12.19406509399414
3,+Local+Matrix,Laura believes that Sarah humiliated herself.,herself,4.27150297164917
3,+Local-Matrix,Peter believes that Sarah humiliated herself.,herself,3.954117774963379
3,-Local+Matrix,Laura believes that Robert humiliated herself.,herself,5.977971076965332
3,-Local-Matrix,Peter believes that Robert humiliated herself.,herself,8.026554107666016
4,+Local+Matrix,Emma believes that Laura defended herself.,herself,3.792243480682373
4,+Local-Matrix,Daniel believes that Laura defended herself.,herself,3.787250518798828
4,-Local+Matrix,Emma believes that James defended herself.,herself,8.496182441711426
4,-Local-Matrix,Daniel believes that James defended herself.,herself,10.375990867614746
5,+Local+Matrix,Anna thinks that Susan praised herself.,herself,7.188335418701172
5,+Local-Matrix,John thinks that Susan praised herself.,herself,8.411301612854004
5,-Local+Matrix,Anna thinks that Tom praised herself.,herself,8.179491996765137
5,-Local-Matrix,John thinks that Tom praised herself.,herself,11.30765438079834
6,+Local+Matrix,Susan thinks that Sarah criticized herself.,herself,6.329969882965088
6,+Local-Matrix,James thinks that Sarah criticized herself.,herself,7.301823139190674
6,-Local+Matrix,Susan thinks that Tom criticized herself.,herself,7.658360004425049
6,-Local-Matrix,James thinks that Tom criticized herself.,herself,10.15273380279541
7,+Local+Matrix,Hannah thinks that Emily embarrassed herself.,herself,5.056259632110596
7,+Local-Matrix,Robert thinks that Emily embarrassed herself.,herself,6.223921298980713
7,-Local+Matrix,Hannah thinks that Bill embarrassed herself.,herself,6.6357622146606445
7,-Local-Matrix,Robert thinks that Bill embarrassed herself.,herself,9.01504135131836
8,+Local+Matrix,Michael said that Bill admired himself.,himself,7.768703937530518
8,+Local-Matrix,Sarah said that Bill admired himself.,himself,9.50622272491455
8,-Local+Matrix,Michael said that Emily admired himself.,himself,10.071834564208984
8,-Local-Matrix,Sarah said that Emily admired himself.,himself,12.769356727600098
9,+Local+Matrix,James heard that Michael criticized himself.,himself,7.457169532775879
9,+Local-Matrix,Emily heard that Michael criticized himself.,himself,8.118243217468262
9,-Local+Matrix,James heard that Rachel criticized himself.,himself,9.587450981140137
9,-Local-Matrix,Emily heard that Rachel criticized himself.,himself,11.217947006225586
10,+Local+Matrix,James said that John defended himself.,himself,4.165334224700928
10,+Local-Matrix,Hannah said that John defended himself.,himself,4.067375659942627
10,-Local+Matrix,James said that Rachel defended himself.,himself,6.8116774559021
10,-Local-Matrix,Hannah said that Rachel defended himself.,himself,7.976973533630371
11,+Local+Matrix,Rebecca thinks that Sarah criticized herself.,herself,6.388580322265625
11,+Local-Matrix,John thinks that Sarah criticized herself.,herself,7.552382946014404
11,-Local+Matrix,Rebecca thinks that Peter criticized herself.,herself,7.852237701416016
11,-Local-Matrix,John thinks that Peter criticized herself.,herself,11.375946044921875
12,+Local+Matrix,Laura believes that Hannah blamed herself.,herself,5.0544352531433105
12,+Local-Matrix,Michael believes that Hannah blamed herself.,herself,5.702223777770996
12,-Local+Matrix,Laura believes that David blamed herself.,herself,7.06898832321167
12,-Local-Matrix,Michael believes that David blamed herself.,herself,9.777704238891602
13,+Local+Matrix,Sarah said that Susan blamed herself.,herself,5.356048583984375
13,+Local-Matrix,Tom said that Susan blamed herself.,herself,5.747214317321777
13,-Local+Matrix,Sarah said that Robert blamed herself.,herself,6.564859867095947
13,-Local-Matrix,Tom said that Robert blamed herself.,herself,9.547197341918945
14,+Local+Matrix,Bill heard that John admired himself.,himself,7.296050071716309
14,+Local-Matrix,Emma heard that John admired himself.,himself,8.649569511413574
14,-Local+Matrix,Bill heard that Rachel admired himself.,himself,9.586085319519043
14,-Local-Matrix,Emma heard that Rachel admired himself.,himself,11.974416732788086
15,+Local+Matrix,Bill thinks that Daniel photographed himself.,himself,7.138185024261475
15,+Local-Matrix,Mary thinks that Daniel photographed himself.,himself,7.661754131317139
15,-Local+Matrix,Bill thinks that Emily photographed himself.,himself,9.418697357177734
15,-Local-Matrix,Mary thinks that Emily photographed himself.,himself,11.705016136169434
16,+Local+Matrix,John believes that Michael admired himself.,himself,7.2452521324157715
16,+Local-Matrix,Anna believes that Michael admired himself.,himself,8.486586570739746
16,-Local+Matrix,John believes that Mary admired himself.,himself,9.18753433227539
16,-Local-Matrix,Anna believes that Mary admired himself.,himself,11.594793319702148
17,+Local+Matrix,Rebecca said that Emma embarrassed herself.,herself,5.75148344039917
17,+Local-Matrix,Daniel said that Emma embarrassed herself.,herself,6.775904655456543
17,-Local+Matrix,Rebecca said that David embarrassed herself.,herself,6.685150146484375
17,-Local-Matrix,Daniel said that David embarrassed herself.,herself,8.573183059692383
18,+Local+Matrix,Ben believes that Daniel criticized himself.,himself,7.73180627822876
18,+Local-Matrix,Emma believes that Daniel criticized himself.,himself,8.594700813293457
18,-Local+Matrix,Ben believes that Hannah criticized himself.,himself,8.980294227600098
18,-Local-Matrix,Emma believes that Hannah criticized himself.,himself,11.043878555297852
19,+Local+Matrix,Susan believes that Laura praised herself.,herself,6.66005277633667
19,+Local-Matrix,Robert believes that Laura praised herself.,herself,7.378710746765137
19,-Local+Matrix,Susan believes that James praised herself.,herself,10.12527847290039
19,-Local-Matrix,Robert believes that James praised herself.,herself,13.098438262939453
20,+Local+Matrix,Tom believes that James humiliated himself.,himself,5.390712261199951
20,+Local-Matrix,Sarah believes that James humiliated himself.,himself,7.438308238983154
20,-Local+Matrix,Tom believes that Hannah humiliated himself.,himself,7.16696834564209
20,-Local-Matrix,Sarah believes that Hannah humiliated himself.,himself,9.602910995483398
21,+Local+Matrix,Peter said that David photographed himself.,himself,7.77518892288208
21,+Local-Matrix,Anna said that David photographed himself.,himself,8.985143661499023
21,-Local+Matrix,Peter said that Emma photographed himself.,himself,10.329987525939941
21,-Local-Matrix,Anna said that Emma photographed himself.,himself,12.596512794494629
22,+Local+Matrix,Tom thinks that Peter praised himself.,himself,6.153656005859375
22,+Local-Matrix,Sarah thinks that Peter praised himself.,himself,8.215590476989746
22,-Local+Matrix,Tom thinks that Rebecca praised himself.,himself,8.849410057067871
22,-Local-Matrix,Sarah thinks that Rebecca praised himself.,himself,12.24822998046875
23,+Local+Matrix,Laura said that Emma admired herself.,herself,8.627601623535156
23,+Local-Matrix,David said that Emma admired herself.,herself,9.318707466125488
23,-Local+Matrix,Laura said that Bill admired herself.,herself,9.080188751220703
23,-Local-Matrix,David said that Bill admired herself.,herself,11.591336250305176
24,+Local+Matrix,Peter thinks that Ben photographed himself.,himself,6.847189426422119
24,+Local-Matrix,Rachel thinks that Ben photographed himself.,himself,7.844417572021484
24,-Local+Matrix,Peter thinks that Anna photographed himself.,himself,9.644729614257812
24,-Local-Matrix,Rachel thinks that Anna photographed himself.,himself,11.904068946838379
25,+Local+Matrix,Mary heard that Emma photographed herself.,herself,8.060489654541016
25,+Local-Matrix,Michael heard that Emma photographed herself.,herself,8.794957160949707
25,-Local+Matrix,Mary heard that Daniel photographed herself.,herself,10.345855712890625
25,-Local-Matrix,Michael heard that Daniel photographed herself.,herself,12.974084854125977
26,+Local+Matrix,Rebecca thinks that Anna humiliated herself.,herself,4.213046550750732
26,+Local-Matrix,Robert thinks that Anna humiliated herself.,herself,5.525622367858887
26,-Local+Matrix,Rebecca thinks that Ben humiliated herself.,herself,6.101338863372803
26,-Local-Matrix,Robert thinks that Ben humiliated herself.,herself,9.743733406066895
27,+Local+Matrix,John heard that James embarrassed himself.,himself,6.365132808685303
27,+Local-Matrix,Hannah heard that James embarrassed himself.,himself,7.47792387008667
27,-Local+Matrix,John heard that Laura embarrassed himself.,himself,6.8451032638549805
27,-Local-Matrix,Hannah heard that Laura embarrassed himself.,himself,9.094001770019531
28,+Local+Matrix,James heard that Robert blamed himself.,himself,5.2980217933654785
