item_id,target,matrix_frame,embedded_verb,condition,local_match,matrix_match,sentence
1,herself,believes that,blamed,+Local+Matrix,1,1,Susan believes that Rebecca blamed herself.
1,herself,believes that,blamed,+Local-Matrix,1,0,David believes that Rebecca blamed herself.
1,herself,believes that,blamed,-Local+Matrix,0,1,Susan believes that Peter blamed herself.
1,herself,believes that,blamed,-Local-Matrix,0,0,David believes that Peter blamed herself.
2,himself,heard that,praised,+Local+Matrix,1,1,Ben heard that Michael praised himself.
2,himself,heard that,praised,+Local-Matrix,1,0,Rachel heard that Michael praised himself.
2,himself,heard that,praised,-Local+Matrix,0,1,Ben heard that Rebecca praised himself.
2,himself,heard that,praised,-Local-Matrix,0,0,Rachel heard that Rebecca praised himself.
3,herself,believes that,humiliated,+Local+Matrix,1,1,Laura believes that Sarah humiliated herself.
3,herself,believes that,humiliated,+Local-Matrix,1,0,Peter believes that Sarah humiliated herself.
3,herself,believes that,humiliated,-Local+Matrix,0,1,Laura believes that Robert humiliated herself.
3,herself,believes that,humiliated,-Local-Matrix,0,0,Peter believes that Robert humiliated herself.
4,herself,believes that,defended,+Local+Matrix,1,1,Emma believes that Laura defended herself.
4,herself,believes that,defended,+Local-Matrix,1,0,Daniel believes that Laura defended herself.
4,herself,believes that,defended,-Local+Matrix,0,1,Emma believes that James defended herself.
4,herself,believes that,defended,-Local-Matrix,0,0,Daniel believes that James defended herself.
5,herself,thinks that,praised,+Local+Matrix,1,1,Anna thinks that Susan praised herself.
5,herself,thinks that,praised,+Local-Matrix,1,0,John thinks that Susan praised herself.
5,herself,thinks that,praised,-Local+Matrix,0,1,Anna thinks that Tom praised herself.
5,herself,thinks that,praised,-Local-Matrix,0,0,John thinks that Tom praised herself.
6,herself,thinks that,criticized,+Local+Matrix,1,1,Susan thinks that Sarah criticized herself.
6,herself,thinks that,criticized,+Local-Matrix,1,0,James thinks that Sarah criticized herself.
6,herself,thinks that,criticized,-Local+Matrix,0,1,Susan thinks that Tom criticized herself.
6,herself,thinks that,criticized,-Local-Matrix,0,0,James thinks that Tom criticized herself.
7,herself,thinks that,embarrassed,+Local+Matrix,1,1,Hannah thinks that Emily embarrassed herself.
7,herself,thinks that,embarrassed,+Local-Matrix,1,0,Robert thinks that Emily embarrassed herself.
7,herself,thinks that,embarrassed,-Local+Matrix,0,1,Hannah thinks that Bill embarrassed herself.
7,herself,thinks that,embarrassed,-Local-Matrix,0,0,Robert thinks that Bill embarrassed herself.
8,himself,said that,admired,+Local+Matrix,1,1,Michael said that Bill admired himself.
8,himself,said that,admired,+Local-Matrix,1,0,Sarah said that Bill admired himself.
8,himself,said that,admired,-Local+Matrix,0,1,Michael said that Emily admired himself.
8,himself,said that,admired,-Local-Matrix,0,0,Sarah said that Emily admired himself.
9,himself,heard that,criticized,+Local+Matrix,1,1,James heard that Michael criticized himself.
9,himself,heard that,criticized,+Local-Matrix,1,0,Emily heard that Michael criticized himself.
9,himself,heard that,criticized,-Local+Matrix,0,1,James heard that Rachel criticized himself.
9,himself,heard that,criticized,-Local-Matrix,0,0,Emily heard that Rachel criticized himself.
10,himself,said that,defended,+Local+Matrix,1,1,James said that John defended himself.
10,himself,said that,defended,+Local-Matrix,1,0,Hannah said that John defended himself.
10,himself,said that,defended,-Local+Matrix,0,1,James said that Rachel defended himself.
10,himself,said that,defended,-Local-Matrix,0,0,Hannah said that Rachel defended himself.
11,herself,thinks that,criticized,+Local+Matrix,1,1,Rebecca thinks that Sarah criticized herself.
11,herself,thinks that,criticized,+Local-Matrix,1,0,John thinks that Sarah criticized herself.
11,herself,thinks that,criticized,-Local+Matrix,0,1,Rebecca thinks that Peter criticized herself.
11,herself,thinks that,criticized,-Local-Matrix,0,0,John thinks that Peter criticized herself.
12,herself,believes that,blamed,+Local+Matrix,1,1,Laura believes that Hannah blamed herself.
12,herself,believes that,blamed,+Local-Matrix,1,0,Michael believes that Hannah blamed herself.
12,herself,believes that,blamed,-Local+Matrix,0,1,Laura believes that David blamed herself.
12,herself,believes that,blamed,-Local-Matrix,0,0,Michael believes that David blamed herself.
13,herself,said that,blamed,+Local+Matrix,1,1,Sarah said that Susan blamed herself.
13,herself,said that,blamed,+Local-Matrix,1,0,Tom said that Susan blamed herself.
13,herself,said that,blamed,-Local+Matrix,0,1,Sarah said that Robert blamed herself.
13,herself,said that,blamed,-Local-Matrix,0,0,Tom said that Robert blamed herself.
14,himself,heard that,admired,+Local+Matrix,1,1,Bill heard that John admired himself.
14,himself,heard that,admired,+Local-Matrix,1,0,Emma heard that John admired himself.
14,himself,heard that,admired,-Local+Matrix,0,1,Bill heard that Rachel admired himself.
14,himself,heard that,admired,-Local-Matrix,0,0,Emma heard that Rachel admired himself.
15,himself,thinks that,photographed,+Local+Matrix,1,1,Bill thinks that Daniel photographed himself.
15,himself,thinks that,photographed,+Local-Matrix,1,0,Mary thinks that Daniel photographed himself.
15,himself,thinks that,photographed,-Local+Matrix,0,1,Bill thinks that Emily photographed himself.
15,himself,thinks that,photographed,-Local-Matrix,0,0,Mary thinks that Emily photographed himself.
16,himself,believes that,admired,+Local+Matrix,1,1,John believes that Michael admired himself.
16,himself,believes that,admired,+Local-Matrix,1,0,Anna believes that Michael admired himself.
16,himself,believes that,admired,-Local+Matrix,0,1,John believes that Mary admired himself.
16,himself,believes that,admired,-Local-Matrix,0,0,Anna believes that Mary admired himself.
17,herself,said that,embarrassed,+Local+Matrix,1,1,Rebecca said that Emma embarrassed herself.
17,herself,said that,embarrassed,+Local-Matrix,1,0,Daniel said that Emma embarrassed herself.
17,herself,said that,embarrassed,-Local+Matrix,0,1,Rebecca said that David embarrassed herself.
17,herself,said that,embarrassed,-Local-Matrix,0,0,Daniel said that David embarrassed herself.
18,himself,believes that,criticized,+Local+Matrix,1,1,Ben believes that Daniel criticized himself.
18,himself,believes that,criticized,+Local-Matrix,1,0,Emma believes that Daniel criticized himself.
18,himself,believes that,criticized,-Local+Matrix,0,1,Ben believes that Hannah criticized himself.
18,himself,believes that,criticized,-Local-Matrix,0,0,Emma believes that Hannah criticized himself.
19,herself,believes that,praised,+Local+Matrix,1,1,Susan believes that Laura praised herself.
19,herself,believes that,praised,+Local-Matrix,1,0,Robert believes that Laura praised herself.
19,herself,believes that,praised,-Local+Matrix,0,1,Susan believes that James praised herself.
19,herself,believes that,praised,-Local-Matrix,0,0,Robert believes that James praised herself.
20,himself,believes that,humiliated,+Local+Matrix,1,1,Tom believes that James humiliated himself.
20,himself,believes that,humiliated,+Local-Matrix,1,0,Sarah believes that James humiliated himself.
20,himself,believes that,humiliated,-Local+Matrix,0,1,Tom believes that Hannah humiliated himself.
20,himself,believes that,humiliated,-Local-Matrix,0,0,Sarah believes that Hannah humiliated himself.
21,himself,said that,photographed,+Local+Matrix,1,1,Peter said that David photographed himself.
21,himself,said that,photographed,+Local-Matrix,1,0,Anna said that David photographed himself.
21,himself,said that,photographed,-Local+Matrix,0,1,Peter said that Emma photographed himself.
21,himself,said that,photographed,-Local-Matrix,0,0,Anna said that Emma photographed himself.
22,himself,thinks that,praised,+Local+Matrix,1,1,Tom thinks that Peter praised himself.
22,himself,thinks that,praised,+Local-Matrix,1,0,Sarah thinks that Peter praised himself.
22,himself,thinks that,praised,-Local+Matrix,0,1,Tom thinks that Rebecca praised himself.
22,himself,thinks that,praised,-Local-Matrix,0,0,Sarah thinks that Rebecca praised himself.
23,herself,said that,admired,+Local+Matrix,1,1,Laura said that Emma admired herself.
23,herself,said that,admired,+Local-Matrix,1,0,David said that Emma admired herself.
23,herself,said that,admired,-Local+Matrix,0,1,Laura said that Bill admired herself.
23,herself,said that,admired,-Local-Matrix,0,0,David said that Bill admired herself.
24,himself,thinks that,photographed,+Local+Matrix,1,1,Peter thinks that Ben photographed himself.
24,himself,thinks that,photographed,+Local-Matrix,1,0,Rachel thinks that Ben photographed himself.
24,himself,thinks that,photographed,-Local+Matrix,0,1,Peter thinks that Anna photographed himself.
24,himself,thinks that,photographed,-Local-Matrix,0,0,Rachel thinks that Anna photographed himself.
25,herself,heard that,photographed,+Local+Matrix,1,1,Mary heard that Emma photographed herself.
25,herself,heard that,photographed,+Local-Matrix,1,0,Michael heard that Emma photographed herself.
25,herself,heard that,photographed,-Local+Matrix,0,1,Mary heard that Daniel photographed herself.
25,herself,heard that,photographed,-Local-Matrix,0,0,Michael heard that Daniel photographed herself.
26,herself,thinks that,humiliated,+Local+Matrix,1,1,Rebecca thinks that Anna humiliated herself.
26,herself,thinks that,humiliated,+Local-Matrix,1,0,Robert thinks that Anna humiliated herself.
26,herself,thinks that,humiliated,-Local+Matrix,0,1,Rebecca thinks that Ben humiliated herself.
26,herself,thinks that,humiliated,-Local-Matrix,0,0,Robert thinks that Ben humiliated herself.
27,himself,heard that,embarrassed,+Local+Matrix,1,1,John heard that James embarrassed himself.
27,himself,heard that,embarrassed,+Local-Matrix,1,0,Hannah heard that James embarrassed himself.
27,himself,heard that,embarrassed,-Local+Matrix,0,1,John heard that Laura embarrassed himself.
27,himself,heard that,embarrassed,-Local-Matrix,0,0,Hannah heard that Laura embarrassed himself.
