item_id,condition,sentence,target
1,+Local+Coarg,John believes that Bill criticized himself.,himself
1,+Local+Picture,John believes that Bill saw a picture of himself.,himself
1,-Local+Coarg,John believes that Mary criticized himself.,himself
1,-Local+Picture,John believes that Mary saw a picture of himself.,himself
2,+Local+Coarg,Sarah thinks that Emma praised herself.,herself
2,+Local+Picture,Sarah thinks that Emma liked a picture of herself.,herself
2,-Local+Coarg,Sarah thinks that Daniel praised herself.,herself
2,-Local+Picture,Sarah thinks that Daniel liked a picture of herself.,herself
3,+Local+Coarg,Peter was glad that James defended himself.,himself
3,+Local+Picture,Peter was glad that James found a picture of himself.,himself
3,-Local+Coarg,Peter was glad that Laura defended himself.,himself
3,-Local+Picture,Peter was glad that Laura found a picture of himself.,himself
4,+Local+Coarg,Rachel believes that Hannah embarrassed herself.,herself
4,+Local+Picture,Rachel believes that Hannah bought a picture of herself.,herself
4,-Local+Coarg,Rachel believes that Michael embarrassed herself.,herself
4,-Local+Picture,Rachel believes that Michael bought a picture of herself.,herself
5,+Local+Coarg,David thinks that Tom blamed himself.,himself
5,+Local+Picture,David thinks that Tom looked at a picture of himself.,himself
5,-Local+Coarg,David thinks that Susan blamed himself.,himself
5,-Local+Picture,David thinks that Susan looked at a picture of himself.,himself
6,+Local+Coarg,Laura thought that Mary admired herself.,herself
6,+Local+Picture,Laura thought that Mary saw a picture of herself.,herself
6,-Local+Coarg,Laura thought that Robert admired herself.,herself
6,-Local+Picture,Laura thought that Robert saw a picture of herself.,herself
7,+Local+Coarg,Michael believes that Daniel humiliated himself.,himself
7,+Local+Picture,Michael believes that Daniel liked a picture of himself.,himself
7,-Local+Coarg,Michael believes that Anna humiliated himself.,himself
7,-Local+Picture,Michael believes that Anna liked a picture of himself.,himself
8,+Local+Coarg,Rebecca was glad that Emily photographed herself.,herself
8,+Local+Picture,Rebecca was glad that Emily found a picture of herself.,herself
8,-Local+Coarg,Rebecca was glad that Ben photographed herself.,herself
8,-Local+Picture,Rebecca was glad that Ben found a picture of herself.,herself
9,+Local+Coarg,James was upset that Peter praised himself.,himself
9,+Local+Picture,James was upset that Peter bought a picture of himself.,himself
9,-Local+Coarg,James was upset that Hannah praised himself.,himself
9,-Local+Picture,James was upset that Hannah bought a picture of himself.,himself
10,+Local+Coarg,Emma thinks that Susan defended herself.,herself
10,+Local+Picture,Emma thinks that Susan looked at a picture of herself.,herself
10,-Local+Coarg,Emma thinks that David defended herself.,herself
10,-Local+Picture,Emma thinks that David looked at a picture of herself.,herself
11,+Local+Coarg,Robert believes that Ben embarrassed himself.,himself
11,+Local+Picture,Robert believes that Ben saw a picture of himself.,himself
11,-Local+Coarg,Robert believes that Rachel embarrassed himself.,himself
11,-Local+Picture,Robert believes that Rachel saw a picture of himself.,himself
12,+Local+Coarg,Mary was glad that Anna blamed herself.,herself
12,+Local+Picture,Mary was glad that Anna liked a picture of herself.,herself
12,-Local+Coarg,Mary was glad that Tom blamed herself.,herself
12,-Local+Picture,Mary was glad that Tom liked a picture of herself.,herself
13,+Local+Coarg,Daniel thinks that Michael admired himself.,himself
13,+Local+Picture,Daniel thinks that Michael found a picture of himself.,himself
13,-Local+Coarg,Daniel thinks that Laura admired himself.,himself
13,-Local+Picture,Daniel thinks that Laura found a picture of himself.,himself
14,+Local+Coarg,Hannah thought that Rachel criticized herself.,herself
14,+Local+Picture,Hannah thought that Rachel bought a picture of herself.,herself
14,-Local+Coarg,Hannah thought that James criticized herself.,herself
14,-Local+Picture,Hannah thought that James bought a picture of herself.,herself
