item_id,condition,sentence,target,surprisal,Head_Match,Distractor_Match
1,+Head+Distractor,The mothers of the boys humiliated themselves.,themselves,5.28125,+Head,+Distractor
1,+Head-Distractor,The mothers of the boy humiliated themselves.,themselves,5.09375,+Head,-Distractor
1,-Head+Distractor,The mother of the boys humiliated themselves.,themselves,8.875,-Head,+Distractor
1,-Head-Distractor,The mother of the boy humiliated themselves.,themselves,11.125,-Head,-Distractor
2,+Head+Distractor,The teachers of the students embarrassed themselves.,themselves,4.5625,+Head,+Distractor
2,+Head-Distractor,The teachers of the student embarrassed themselves.,themselves,3.40625,+Head,-Distractor
2,-Head+Distractor,The teacher of the students embarrassed themselves.,themselves,4.625,-Head,+Distractor
2,-Head-Distractor,The teacher of the student embarrassed themselves.,themselves,6.3125,-Head,-Distractor
3,+Head+Distractor,The friends of the actors criticized themselves.,themselves,11.375,+Head,+Distractor
3,+Head-Distractor,The friends of the actor criticized themselves.,themselves,12.25,+Head,-Distractor
3,-Head+Distractor,The friend of the actors criticized themselves.,themselves,12.4375,-Head,+Distractor
3,-Head-Distractor,The friend of the actor criticized themselves.,themselves,13.8125,-Head,-Distractor
4,+Head+Distractor,The neighbors of the doctors blamed themselves.,themselves,8.875,+Head,+Distractor
4,+Head-Distractor,The neighbors of the doctor blamed themselves.,themselves,9.4375,+Head,-Distractor
4,-Head+Distractor,The neighbor of the doctors blamed themselves.,themselves,11.0625,-Head,+Distractor
4,-Head-Distractor,The neighbor of the doctor blamed themselves.,themselves,13.875,-Head,-Distractor
5,+Head+Distractor,The sisters of the managers praised themselves.,themselves,7.9375,+Head,+Distractor
5,+Head-Distractor,The sisters of the manager praised themselves.,themselves,9.0,+Head,-Distractor
5,-Head+Distractor,The sister of the managers praised themselves.,themselves,11.0625,-Head,+Distractor
5,-Head-Distractor,The sister of the manager praised themselves.,themselves,15.75,-Head,-Distractor
6,+Head+Distractor,The colleagues of the lawyers questioned themselves.,themselves,11.5625,+Head,+Distractor
6,+Head-Distractor,The colleagues of the lawyer questioned themselves.,themselves,12.0,+Head,-Distractor
6,-Head+Distractor,The colleague of the lawyers questioned themselves.,themselves,13.5,-Head,+Distractor
6,-Head-Distractor,The colleague of the lawyer questioned themselves.,themselves,16.625,-Head,-Distractor
