item_id,condition,sentence,target,surprisal
1,+Head+Distractor,The mothers of the boys humiliated themselves.,themselves,9.5234375
1,+Head-Distractor,The mothers of the boy humiliated themselves.,themselves,14.4296875
1,-Head+Distractor,The mother of the boys humiliated themselves.,themselves,10.640625
1,-Head-Distractor,The mother of the boy humiliated themselves.,themselves,21.21875
2,+Head+Distractor,The teachers of the students embarrassed themselves.,themselves,5.453125
2,+Head-Distractor,The teachers of the student embarrassed themselves.,themselves,7.18359375
2,-Head+Distractor,The teacher of the students embarrassed themselves.,themselves,6.42578125
2,-Head-Distractor,The teacher of the student embarrassed themselves.,themselves,9.3984375
3,+Head+Distractor,The friends of the actors criticized themselves.,themselves,10.53125
3,+Head-Distractor,The friends of the actor criticized themselves.,themselves,13.03125
3,-Head+Distractor,The friend of the actors criticized themselves.,themselves,12.9140625
3,-Head-Distractor,The friend of the actor criticized themselves.,themselves,16.0
4,+Head+Distractor,The neighbors of the doctors blamed themselves.,themselves,8.34375
4,+Head-Distractor,The neighbors of the doctor blamed themselves.,themselves,8.421875
4,-Head+Distractor,The neighbor of the doctors blamed themselves.,themselves,9.7578125
4,-Head-Distractor,The neighbor of the doctor blamed themselves.,themselves,17.140625
5,+Head+Distractor,The sisters of the managers praised themselves.,themselves,8.8671875
5,+Head-Distractor,The sisters of the manager praised themselves.,themselves,9.1796875
5,-Head+Distractor,The sister of the managers praised themselves.,themselves,10.8515625
5,-Head-Distractor,The sister of the manager praised themselves.,themselves,14.0625
6,+Head+Distractor,The colleagues of the lawyers questioned themselves.,themselves,11.8828125
6,+Head-Distractor,The colleagues of the lawyer questioned themselves.,themselves,13.0859375
6,-Head+Distractor,The colleague of the lawyers questioned themselves.,themselves,12.75
6,-Head-Distractor,The colleague of the lawyer questioned themselves.,themselves,17.921875
7,+Head+Distractor,The assistants of the professors defended themselves.,themselves,6.33984375
7,+Head-Distractor,The assistants of the professor defended themselves.,themselves,6.58984375
7,-Head+Distractor,The assistant of the professors defended themselves.,themselves,10.125
7,-Head-Distractor,The assistant of the professor defended themselves.,themselves,12.625
8,+Head+Distractor,The cousins of the musicians reassured themselves.,themselves,5.98046875
8,+Head-Distractor,The cousins of the musician reassured themselves.,themselves,7.03125
8,-Head+Distractor,The cousin of the musicians reassured themselves.,themselves,9.484375
8,-Head-Distractor,The cousin of the musician reassured themselves.,themselves,13.078125
9,+Head+Distractor,The fans of the singers challenged themselves.,themselves,4.56640625
9,+Head-Distractor,The fans of the singer challenged themselves.,themselves,5.96875
9,-Head+Distractor,The fan of the singers challenged themselves.,themselves,7.9296875
9,-Head-Distractor,The fan of the singer challenged themselves.,themselves,14.0546875
10,+Head+Distractor,The relatives of the patients criticized themselves.,themselves,12.5
10,+Head-Distractor,The relatives of the patient criticized themselves.,themselves,12.90625
10,-Head+Distractor,The relative of the patients criticized themselves.,themselves,12.9375
10,-Head-Distractor,The relative of the patient criticized themselves.,themselves,14.875
11,+Head+Distractor,The fathers of the girls congratulated themselves.,themselves,6.13671875
11,+Head-Distractor,The fathers of the girl congratulated themselves.,themselves,6.88671875
11,-Head+Distractor,The father of the girls congratulated themselves.,themselves,11.015625
11,-Head-Distractor,The father of the girl congratulated themselves.,themselves,13.4453125
12,+Head+Distractor,The brothers of the dancers challenged themselves.,themselves,6.92578125
12,+Head-Distractor,The brothers of the dancer challenged themselves.,themselves,9.8203125
12,-Head+Distractor,The brother of the dancers challenged themselves.,themselves,11.8359375
12,-Head-Distractor,The brother of the dancer challenged themselves.,themselves,16.40625
13,+Head+Distractor,The partners of the designers praised themselves.,themselves,10.1875
13,+Head-Distractor,The partners of the designer praised themselves.,themselves,10.3828125
13,-Head+Distractor,The partner of the designers praised themselves.,themselves,11.40625
13,-Head-Distractor,The partner of the designer praised themselves.,themselves,13.984375
14,+Head+Distractor,The lawyers of the politicians reassured themselves.,themselves,8.2109375
14,+Head-Distractor,The lawyers of the politician reassured themselves.,themselves,12.1875
14,-Head+Distractor,The lawyer of the politicians reassured themselves.,themselves,11.7890625
14,-Head-Distractor,The lawyer of the politician reassured themselves.,themselves,16.5625
15,+Head+Distractor,The advisors of the scientists blamed themselves.,themselves,10.3671875
15,+Head-Distractor,The advisors of the scientist blamed themselves.,themselves,9.9140625
15,-Head+Distractor,The advisor of the scientists blamed themselves.,themselves,12.5859375
15,-Head-Distractor,The advisor of the scientist blamed themselves.,themselves,13.421875
16,+Head+Distractor,The teachers of the researchers questioned themselves.,themselves,9.609375
16,+Head-Distractor,The teachers of the researcher questioned themselves.,themselves,7.5625
16,-Head+Distractor,The teacher of the researchers questioned themselves.,themselves,11.5546875
16,-Head-Distractor,The teacher of the researcher questioned themselves.,themselves,14.8359375
17,+Head+Distractor,The friends of the doctors congratulated themselves.,themselves,9.2109375
17,+Head-Distractor,The friends of the doctor congratulated themselves.,themselves,9.8828125
17,-Head+Distractor,The friend of the doctors congratulated themselves.,themselves,9.9609375
17,-Head-Distractor,The friend of the doctor congratulated themselves.,themselves,13.1171875
18,+Head+Distractor,The neighbors of the students embarrassed themselves.,themselves,6.4453125
18,+Head-Distractor,The neighbors of the student embarrassed themselves.,themselves,8.828125
18,-Head+Distractor,The neighbor of the students embarrassed themselves.,themselves,7.4609375
