item_id,condition,sentence,target,surprisal
1,+Local+Coarg,John believes that Bill criticized himself.,himself,9.625
1,+Local+Picture,John believes that Bill saw a picture of himself.,himself,3.96875
1,-Local+Coarg,John believes that Mary criticized himself.,himself,10.125
1,-Local+Picture,John believes that Mary saw a picture of himself.,himself,4.15625
2,+Local+Coarg,Sarah thinks that Emma praised herself.,herself,8.9375
2,+Local+Picture,Sarah thinks that Emma liked a picture of herself.,herself,3.703125
2,-Local+Coarg,Sarah thinks that Daniel praised herself.,herself,9.8125
2,-Local+Picture,Sarah thinks that Daniel liked a picture of herself.,herself,5.6875
3,+Local+Coarg,Peter was glad that James defended himself.,himself,3.875
3,+Local+Picture,Peter was glad that James found a picture of himself.,himself,4.0625
3,-Local+Coarg,Peter was glad that Laura defended himself.,himself,6.9375
3,-Local+Picture,Peter was glad that Laura found a picture of himself.,himself,6.59375
4,+Local+Coarg,Rachel believes that Hannah embarrassed herself.,herself,2.96875
4,+Local+Picture,Rachel believes that Hannah bought a picture of herself.,herself,2.609375
4,-Local+Coarg,Rachel believes that Michael embarrassed herself.,herself,6.53125
4,-Local+Picture,Rachel believes that Michael bought a picture of herself.,herself,5.875
5,+Local+Coarg,David thinks that Tom blamed himself.,himself,5.3125
5,+Local+Picture,David thinks that Tom looked at a picture of himself.,himself,2.796875
5,-Local+Coarg,David thinks that Susan blamed himself.,himself,7.25
5,-Local+Picture,David thinks that Susan looked at a picture of himself.,himself,5.21875
6,+Local+Coarg,Laura thought that Mary admired herself.,herself,9.375
6,+Local+Picture,Laura thought that Mary saw a picture of herself.,herself,3.703125
6,-Local+Coarg,Laura thought that Robert admired herself.,herself,13.1875
6,-Local+Picture,Laura thought that Robert saw a picture of herself.,herself,6.0
7,+Local+Coarg,Michael believes that Daniel humiliated himself.,himself,5.875
7,+Local+Picture,Michael believes that Daniel liked a picture of himself.,himself,4.15625
7,-Local+Coarg,Michael believes that Anna humiliated himself.,himself,7.125
7,-Local+Picture,Michael believes that Anna liked a picture of himself.,himself,5.78125
8,+Local+Coarg,Rebecca was glad that Emily photographed herself.,herself,10.1875
8,+Local+Picture,Rebecca was glad that Emily found a picture of herself.,herself,4.25
8,-Local+Coarg,Rebecca was glad that Ben photographed herself.,herself,12.0625
8,-Local+Picture,Rebecca was glad that Ben found a picture of herself.,herself,7.40625
9,+Local+Coarg,James was upset that Peter praised himself.,himself,3.15625
9,+Local+Picture,James was upset that Peter bought a picture of himself.,himself,4.5
9,-Local+Coarg,James was upset that Hannah praised himself.,himself,5.40625
9,-Local+Picture,James was upset that Hannah bought a picture of himself.,himself,8.125
10,+Local+Coarg,Emma thinks that Susan defended herself.,herself,2.34375
10,+Local+Picture,Emma thinks that Susan looked at a picture of herself.,herself,3.875
10,-Local+Coarg,Emma thinks that David defended herself.,herself,6.1875
10,-Local+Picture,Emma thinks that David looked at a picture of herself.,herself,6.59375
11,+Local+Coarg,Robert believes that Ben embarrassed himself.,himself,2.703125
11,+Local+Picture,Robert believes that Ben saw a picture of himself.,himself,4.59375
11,-Local+Coarg,Robert believes that Rachel embarrassed himself.,himself,6.09375
11,-Local+Picture,Robert believes that Rachel saw a picture of himself.,himself,5.3125
12,+Local+Coarg,Mary was glad that Anna blamed herself.,herself,1.53125
12,+Local+Picture,Mary was glad that Anna liked a picture of herself.,herself,3.96875
12,-Local+Coarg,Mary was glad that Tom blamed herself.,herself,8.125
12,-Local+Picture,Mary was glad that Tom liked a picture of herself.,herself,6.3125
13,+Local+Coarg,Daniel thinks that Michael admired himself.,himself,8.9375
13,+Local+Picture,Daniel thinks that Michael found a picture of himself.,himself,3.421875
13,-Local+Coarg,Daniel thinks that Laura admired himself.,himself,8.25
13,-Local+Picture,Daniel thinks that Laura found a picture of himself.,himself,6.6875
14,+Local+Coarg,Hannah thought that Rachel criticized herself.,herself,10.6875
14,+Local+Picture,Hannah thought that Rachel bought a picture of herself.,herself,2.890625
14,-Local+Coarg,Hannah thought that James criticized herself.,herself,12.625
14,-Local+Picture,Hannah thought that James bought a picture of herself.,herself,8.375
15,+Local+Coarg,Ben believes that John photographed himself.,himself,7.75
15,+Local+Picture,Ben believes that John looked at a picture of himself.,himself,3.875
15,-Local+Coarg,Ben believes that Emily photographed himself.,himself,8.0
15,-Local+Picture,Ben believes that Emily looked at a picture of himself.,himself,5.3125
16,+Local+Coarg,Susan was glad that Rebecca humiliated herself.,herself,3.96875
16,+Local+Picture,Susan was glad that Rebecca saw a picture of herself.,herself,6.5
16,-Local+Coarg,Susan was glad that Peter humiliated herself.,herself,7.03125
16,-Local+Picture,Susan was glad that Peter saw a picture of herself.,herself,6.9375
17,+Local+Coarg,Tom thinks that Robert defended himself.,himself,1.265625
17,+Local+Picture,Tom thinks that Robert liked a picture of himself.,himself,3.703125
17,-Local+Coarg,Tom thinks that Emma defended himself.,himself,5.71875
17,-Local+Picture,Tom thinks that Emma liked a picture of himself.,himself,6.8125
18,+Local+Coarg,Anna was upset that Laura praised herself.,herself,5.0625
