item_id,condition,sentence,target,surprisal,Local_Match,Matrix_Match
1,+Local+Matrix,Susan believes that Rebecca blamed herself.,herself,5.46875,+Local,+Matrix
1,+Local-Matrix,David believes that Rebecca blamed herself.,herself,3.375,+Local,-Matrix
1,-Local+Matrix,Susan believes that Peter blamed herself.,herself,9.75,-Local,+Matrix
1,-Local-Matrix,David believes that Peter blamed herself.,herself,10.8125,-Local,-Matrix
2,+Local+Matrix,Ben heard that Michael praised himself.,himself,6.21875,+Local,+Matrix
2,+Local-Matrix,Rachel heard that Michael praised himself.,himself,7.625,+Local,-Matrix
2,-Local+Matrix,Ben heard that Rebecca praised himself.,himself,8.0625,-Local,+Matrix
2,-Local-Matrix,Rachel heard that Rebecca praised himself.,himself,11.4375,-Local,-Matrix
3,+Local+Matrix,Laura believes that Sarah humiliated herself.,herself,4.9375,+Local,+Matrix
3,+Local-Matrix,Peter believes that Sarah humiliated herself.,herself,5.40625,+Local,-Matrix
3,-Local+Matrix,Laura believes that Robert humiliated herself.,herself,10.25,-Local,+Matrix
3,-Local-Matrix,Peter believes that Robert humiliated herself.,herself,9.75,-Local,-Matrix
4,+Local+Matrix,Emma believes that Laura defended herself.,herself,2.796875,+Local,+Matrix
4,+Local-Matrix,Daniel believes that Laura defended herself.,herself,3.40625,+Local,-Matrix
4,-Local+Matrix,Emma believes that James defended herself.,herself,9.4375,-Local,+Matrix
4,-Local-Matrix,Daniel believes that James defended herself.,herself,12.5625,-Local,-Matrix
5,+Local+Matrix,Anna thinks that Susan praised herself.,herself,6.625,+Local,+Matrix
5,+Local-Matrix,John thinks that Susan praised herself.,herself,5.8125,+Local,-Matrix
5,-Local+Matrix,Anna thinks that Tom praised herself.,herself,8.625,-Local,+Matrix
5,-Local-Matrix,John thinks that Tom praised herself.,herself,10.9375,-Local,-Matrix
6,+Local+Matrix,Susan thinks that Sarah criticized herself.,herself,8.4375,+Local,+Matrix
6,+Local-Matrix,James thinks that Sarah criticized herself.,herself,7.84375,+Local,-Matrix
6,-Local+Matrix,Susan thinks that Tom criticized herself.,herself,10.4375,-Local,+Matrix
6,-Local-Matrix,James thinks that Tom criticized herself.,herself,11.0625,-Local,-Matrix
7,+Local+Matrix,Hannah thinks that Emily embarrassed herself.,herself,2.609375,+Local,+Matrix
7,+Local-Matrix,Robert thinks that Emily embarrassed herself.,herself,2.359375,+Local,-Matrix
7,-Local+Matrix,Hannah thinks that Bill embarrassed herself.,herself,10.9375,-Local,+Matrix
7,-Local-Matrix,Robert thinks that Bill embarrassed herself.,herself,8.9375,-Local,-Matrix
8,+Local+Matrix,Michael said that Bill admired himself.,himself,8.6875,+Local,+Matrix
8,+Local-Matrix,Sarah said that Bill admired himself.,himself,8.0625,+Local,-Matrix
8,-Local+Matrix,Michael said that Emily admired himself.,himself,9.9375,-Local,+Matrix
8,-Local-Matrix,Sarah said that Emily admired himself.,himself,11.5625,-Local,-Matrix
9,+Local+Matrix,James heard that Michael criticized himself.,himself,6.59375,+Local,+Matrix
9,+Local-Matrix,Emily heard that Michael criticized himself.,himself,8.3125,+Local,-Matrix
9,-Local+Matrix,James heard that Rachel criticized himself.,himself,9.125,-Local,+Matrix
9,-Local-Matrix,Emily heard that Rachel criticized himself.,himself,11.375,-Local,-Matrix
10,+Local+Matrix,James said that John defended himself.,himself,2.640625,+Local,+Matrix
10,+Local-Matrix,Hannah said that John defended himself.,himself,3.015625,+Local,-Matrix
10,-Local+Matrix,James said that Rachel defended himself.,himself,8.0,-Local,+Matrix
10,-Local-Matrix,Hannah said that Rachel defended himself.,himself,10.5,-Local,-Matrix
11,+Local+Matrix,Rebecca thinks that Sarah criticized herself.,herself,9.5,+Local,+Matrix
11,+Local-Matrix,John thinks that Sarah criticized herself.,herself,7.96875,+Local,-Matrix
11,-Local+Matrix,Rebecca thinks that Peter criticized herself.,herself,10.75,-Local,+Matrix
11,-Local-Matrix,John thinks that Peter criticized herself.,herself,12.25,-Local,-Matrix
12,+Local+Matrix,Laura believes that Hannah blamed herself.,herself,3.453125,+Local,+Matrix
12,+Local-Matrix,Michael believes that Hannah blamed herself.,herself,2.5625,+Local,-Matrix
12,-Local+Matrix,Laura believes that David blamed herself.,herself,9.125,-Local,+Matrix
12,-Local-Matrix,Michael believes that David blamed herself.,herself,9.125,-Local,-Matrix
13,+Local+Matrix,Sarah said that Susan blamed herself.,herself,4.21875,+Local,+Matrix
13,+Local-Matrix,Tom said that Susan blamed herself.,herself,3.8125,+Local,-Matrix
13,-Local+Matrix,Sarah said that Robert blamed herself.,herself,8.75,-Local,+Matrix
13,-Local-Matrix,Tom said that Robert blamed herself.,herself,9.0,-Local,-Matrix
14,+Local+Matrix,Bill heard that John admired himself.,himself,8.3125,+Local,+Matrix
14,+Local-Matrix,Emma heard that John admired himself.,himself,9.6875,+Local,-Matrix
14,-Local+Matrix,Bill heard that Rachel admired himself.,himself,12.6875,-Local,+Matrix
14,-Local-Matrix,Emma heard that Rachel admired himself.,himself,13.5,-Local,-Matrix
15,+Local+Matrix,Bill thinks that Daniel photographed himself.,himself,6.28125,+Local,+Matrix
15,+Local-Matrix,Mary thinks that Daniel photographed himself.,himself,6.59375,+Local,-Matrix
15,-Local+Matrix,Bill thinks that Emily photographed himself.,himself,8.6875,-Local,+Matrix
15,-Local-Matrix,Mary thinks that Emily photographed himself.,himself,9.75,-Local,-Matrix
16,+Local+Matrix,John believes that Michael admired himself.,himself,6.40625,+Local,+Matrix
16,+Local-Matrix,Anna believes that Michael admired himself.,himself,8.3125,+Local,-Matrix
16,-Local+Matrix,John believes that Mary admired himself.,himself,8.3125,-Local,+Matrix
16,-Local-Matrix,Anna believes that Mary admired himself.,himself,10.625,-Local,-Matrix
17,+Local+Matrix,Rebecca said that Emma embarrassed herself.,herself,4.34375,+Local,+Matrix
17,+Local-Matrix,Daniel said that Emma embarrassed herself.,herself,3.734375,+Local,-Matrix
17,-Local+Matrix,Rebecca said that David embarrassed herself.,herself,10.8125,-Local,+Matrix
17,-Local-Matrix,Daniel said that David embarrassed herself.,herself,8.5625,-Local,-Matrix
18,+Local+Matrix,Ben believes that Daniel criticized himself.,himself,8.25,+Local,+Matrix
18,+Local-Matrix,Emma believes that Daniel criticized himself.,himself,9.25,+Local,-Matrix
18,-Local+Matrix,Ben believes that Hannah criticized himself.,himself,9.9375,-Local,+Matrix
18,-Local-Matrix,Emma believes that Hannah criticized himself.,himself,13.1875,-Local,-Matrix
19,+Local+Matrix,Susan believes that Laura praised herself.,herself,6.59375,+Local,+Matrix
19,+Local-Matrix,Robert believes that Laura praised herself.,herself,6.1875,+Local,-Matrix
19,-Local+Matrix,Susan believes that James praised herself.,herself,12.0625,-Local,+Matrix
19,-Local-Matrix,Robert believes that James praised herself.,herself,10.625,-Local,-Matrix
20,+Local+Matrix,Tom believes that James humiliated himself.,himself,4.5625,+Local,+Matrix
20,+Local-Matrix,Sarah believes that James humiliated himself.,himself,5.25,+Local,-Matrix
20,-Local+Matrix,Tom believes that Hannah humiliated himself.,himself,8.625,-Local,+Matrix
20,-Local-Matrix,Sarah believes that Hannah humiliated himself.,himself,10.125,-Local,-Matrix
21,+Local+Matrix,Peter said that David photographed himself.,himself,6.09375,+Local,+Matrix
21,+Local-Matrix,Anna said that David photographed himself.,himself,6.84375,+Local,-Matrix
21,-Local+Matrix,Peter said that Emma photographed himself.,himself,8.0,-Local,+Matrix
21,-Local-Matrix,Anna said that Emma photographed himself.,himself,9.9375,-Local,-Matrix
