item_id,condition,sentence,target,surprisal,Local_Match,Context_Type
1,+Local+Coarg,John believes that Bill criticized himself.,himself,9.25,+Local,Coarg
1,+Local+Picture,John believes that Bill saw a picture of himself.,himself,4.40625,+Local,Picture
1,-Local+Coarg,John believes that Mary criticized himself.,himself,9.0,-Local,Coarg
1,-Local+Picture,John believes that Mary saw a picture of himself.,himself,3.609375,-Local,Picture
2,+Local+Coarg,Sarah thinks that Emma praised herself.,herself,5.34375,+Local,Coarg
2,+Local+Picture,Sarah thinks that Emma liked a picture of herself.,herself,3.734375,+Local,Picture
2,-Local+Coarg,Sarah thinks that Daniel praised herself.,herself,10.9375,-Local,Coarg
2,-Local+Picture,Sarah thinks that Daniel liked a picture of herself.,herself,4.375,-Local,Picture
3,+Local+Coarg,Peter was glad that James defended himself.,himself,7.625,+Local,Coarg
3,+Local+Picture,Peter was glad that James found a picture of himself.,himself,5.0625,+Local,Picture
3,-Local+Coarg,Peter was glad that Laura defended himself.,himself,10.625,-Local,Coarg
3,-Local+Picture,Peter was glad that Laura found a picture of himself.,himself,8.4375,-Local,Picture
4,+Local+Coarg,Rachel believes that Hannah embarrassed herself.,herself,3.65625,+Local,Coarg
4,+Local+Picture,Rachel believes that Hannah bought a picture of herself.,herself,6.6875,+Local,Picture
4,-Local+Coarg,Rachel believes that Michael embarrassed herself.,herself,9.0,-Local,Coarg
4,-Local+Picture,Rachel believes that Michael bought a picture of herself.,herself,6.59375,-Local,Picture
5,+Local+Coarg,David thinks that Tom blamed himself.,himself,7.25,+Local,Coarg
5,+Local+Picture,David thinks that Tom looked at a picture of himself.,himself,4.90625,+Local,Picture
5,-Local+Coarg,David thinks that Susan blamed himself.,himself,9.0,-Local,Coarg
5,-Local+Picture,David thinks that Susan looked at a picture of himself.,himself,6.84375,-Local,Picture
6,+Local+Coarg,Laura thought that Mary admired herself.,herself,8.25,+Local,Coarg
6,+Local+Picture,Laura thought that Mary saw a picture of herself.,herself,4.09375,+Local,Picture
6,-Local+Coarg,Laura thought that Robert admired herself.,herself,14.25,-Local,Coarg
6,-Local+Picture,Laura thought that Robert saw a picture of herself.,herself,4.53125,-Local,Picture
7,+Local+Coarg,Michael believes that Daniel humiliated himself.,himself,6.71875,+Local,Coarg
7,+Local+Picture,Michael believes that Daniel liked a picture of himself.,himself,4.78125,+Local,Picture
7,-Local+Coarg,Michael believes that Anna humiliated himself.,himself,12.0,-Local,Coarg
7,-Local+Picture,Michael believes that Anna liked a picture of himself.,himself,6.6875,-Local,Picture
8,+Local+Coarg,Rebecca was glad that Emily photographed herself.,herself,10.0,+Local,Coarg
8,+Local+Picture,Rebecca was glad that Emily found a picture of herself.,herself,5.125,+Local,Picture
8,-Local+Coarg,Rebecca was glad that Ben photographed herself.,herself,12.0625,-Local,Coarg
8,-Local+Picture,Rebecca was glad that Ben found a picture of herself.,herself,8.6875,-Local,Picture
9,+Local+Coarg,James was upset that Peter praised himself.,himself,11.8125,+Local,Coarg
9,+Local+Picture,James was upset that Peter bought a picture of himself.,himself,3.9375,+Local,Picture
9,-Local+Coarg,James was upset that Hannah praised himself.,himself,16.625,-Local,Coarg
9,-Local+Picture,James was upset that Hannah bought a picture of himself.,himself,6.5,-Local,Picture
10,+Local+Coarg,Emma thinks that Susan defended herself.,herself,4.125,+Local,Coarg
10,+Local+Picture,Emma thinks that Susan looked at a picture of herself.,herself,4.5,+Local,Picture
10,-Local+Coarg,Emma thinks that David defended herself.,herself,10.3125,-Local,Coarg
10,-Local+Picture,Emma thinks that David looked at a picture of herself.,herself,7.09375,-Local,Picture
11,+Local+Coarg,Robert believes that Ben embarrassed himself.,himself,3.46875,+Local,Coarg
11,+Local+Picture,Robert believes that Ben saw a picture of himself.,himself,4.0625,+Local,Picture
11,-Local+Coarg,Robert believes that Rachel embarrassed himself.,himself,9.8125,-Local,Coarg
11,-Local+Picture,Robert believes that Rachel saw a picture of himself.,himself,6.40625,-Local,Picture
12,+Local+Coarg,Mary was glad that Anna blamed herself.,herself,2.421875,+Local,Coarg
12,+Local+Picture,Mary was glad that Anna liked a picture of herself.,herself,3.703125,+Local,Picture
12,-Local+Coarg,Mary was glad that Tom blamed herself.,herself,7.96875,-Local,Coarg
12,-Local+Picture,Mary was glad that Tom liked a picture of herself.,herself,4.53125,-Local,Picture
13,+Local+Coarg,Daniel thinks that Michael admired himself.,himself,8.1875,+Local,Coarg
13,+Local+Picture,Daniel thinks that Michael found a picture of himself.,himself,5.0625,+Local,Picture
13,-Local+Coarg,Daniel thinks that Laura admired himself.,himself,10.875,-Local,Coarg
13,-Local+Picture,Daniel thinks that Laura found a picture of himself.,himself,8.5625,-Local,Picture
14,+Local+Coarg,Hannah thought that Rachel criticized herself.,herself,10.5,+Local,Coarg
14,+Local+Picture,Hannah thought that Rachel bought a picture of herself.,herself,5.9375,+Local,Picture
14,-Local+Coarg,Hannah thought that James criticized herself.,herself,12.0,-Local,Coarg
14,-Local+Picture,Hannah thought that James bought a picture of herself.,herself,8.5625,-Local,Picture
15,+Local+Coarg,Ben believes that John photographed himself.,himself,5.5625,+Local,Coarg
15,+Local+Picture,Ben believes that John looked at a picture of himself.,himself,4.25,+Local,Picture
15,-Local+Coarg,Ben believes that Emily photographed himself.,himself,9.3125,-Local,Coarg
15,-Local+Picture,Ben believes that Emily looked at a picture of himself.,himself,7.75,-Local,Picture
16,+Local+Coarg,Susan was glad that Rebecca humiliated herself.,herself,2.96875,+Local,Coarg
16,+Local+Picture,Susan was glad that Rebecca saw a picture of herself.,herself,5.0625,+Local,Picture
16,-Local+Coarg,Susan was glad that Peter humiliated herself.,herself,8.8125,-Local,Coarg
16,-Local+Picture,Susan was glad that Peter saw a picture of herself.,herself,4.75,-Local,Picture
17,+Local+Coarg,Tom thinks that Robert defended himself.,himself,3.609375,+Local,Coarg
17,+Local+Picture,Tom thinks that Robert liked a picture of himself.,himself,4.96875,+Local,Picture
17,-Local+Coarg,Tom thinks that Emma defended himself.,himself,9.8125,-Local,Coarg
17,-Local+Picture,Tom thinks that Emma liked a picture of himself.,himself,5.375,-Local,Picture
18,+Local+Coarg,Anna was upset that Laura praised herself.,herself,13.6875,+Local,Coarg
18,+Local+Picture,Anna was upset that Laura found a picture of herself.,herself,6.84375,+Local,Picture
18,-Local+Coarg,Anna was upset that Michael praised herself.,herself,12.1875,-Local,Coarg
18,-Local+Picture,Anna was upset that Michael found a picture of herself.,herself,7.03125,-Local,Picture
19,+Local+Coarg,Peter believes that Daniel blamed himself.,himself,8.5,+Local,Coarg
19,+Local+Picture,Peter believes that Daniel bought a picture of himself.,himself,4.53125,+Local,Picture
19,-Local+Coarg,Peter believes that Susan blamed himself.,himself,9.0,-Local,Coarg
19,-Local+Picture,Peter believes that Susan bought a picture of himself.,himself,7.53125,-Local,Picture
20,+Local+Coarg,Emily was glad that Hannah embarrassed herself.,herself,2.203125,+Local,Coarg
20,+Local+Picture,Emily was glad that Hannah looked at a picture of herself.,herself,5.15625,+Local,Picture
20,-Local+Coarg,Emily was glad that Ben embarrassed herself.,herself,7.4375,-Local,Coarg
20,-Local+Picture,Emily was glad that Ben looked at a picture of herself.,herself,8.0625,-Local,Picture
21,+Local+Coarg,John thought that James humiliated himself.,himself,5.5,+Local,Coarg
21,+Local+Picture,John thought that James saw a picture of himself.,himself,5.90625,+Local,Picture
21,-Local+Coarg,John thought that Rebecca humiliated himself.,himself,10.125,-Local,Coarg
21,-Local+Picture,John thought that Rebecca saw a picture of himself.,himself,5.625,-Local,Picture
22,+Local+Coarg,Rachel thinks that Mary admired herself.,herself,8.8125,+Local,Coarg
22,+Local+Picture,Rachel thinks that Mary liked a picture of herself.,herself,3.375,+Local,Picture
22,-Local+Coarg,Rachel thinks that David admired herself.,herself,12.6875,-Local,Coarg
22,-Local+Picture,Rachel thinks that David liked a picture of herself.,herself,5.21875,-Local,Picture
23,+Local+Coarg,Michael believes that Tom criticized himself.,himself,9.3125,+Local,Coarg
23,+Local+Picture,Michael believes that Tom found a picture of himself.,himself,4.5,+Local,Picture
23,-Local+Coarg,Michael believes that Anna criticized himself.,himself,11.8125,-Local,Coarg
23,-Local+Picture,Michael believes that Anna found a picture of himself.,himself,10.0,-Local,Picture
24,+Local+Coarg,Laura was glad that Emma photographed herself.,herself,7.09375,+Local,Coarg
24,+Local+Picture,Laura was glad that Emma bought a picture of herself.,herself,5.875,+Local,Picture
24,-Local+Coarg,Laura was glad that Robert photographed herself.,herself,10.625,-Local,Coarg
24,-Local+Picture,Laura was glad that Robert bought a picture of herself.,herself,7.8125,-Local,Picture
25,+Local+Coarg,David thinks that Ben praised himself.,himself,9.125,+Local,Coarg
25,+Local+Picture,David thinks that Ben looked at a picture of himself.,himself,5.21875,+Local,Picture
25,-Local+Coarg,David thinks that Hannah praised himself.,himself,10.1875,-Local,Coarg
25,-Local+Picture,David thinks that Hannah looked at a picture of himself.,himself,8.1875,-Local,Picture
26,+Local+Coarg,Rebecca was upset that Susan defended herself.,herself,4.3125,+Local,Coarg
26,+Local+Picture,Rebecca was upset that Susan saw a picture of herself.,herself,6.625,+Local,Picture
26,-Local+Coarg,Rebecca was upset that Peter defended herself.,herself,11.125,-Local,Coarg
26,-Local+Picture,Rebecca was upset that Peter saw a picture of herself.,herself,6.84375,-Local,Picture
27,+Local+Coarg,James believes that Michael embarrassed himself.,himself,3.984375,+Local,Coarg
27,+Local+Picture,James believes that Michael liked a picture of himself.,himself,3.90625,+Local,Picture
27,-Local+Coarg,James believes that Emily embarrassed himself.,himself,8.9375,-Local,Coarg
27,-Local+Picture,James believes that Emily liked a picture of himself.,himself,6.90625,-Local,Picture
28,+Local+Coarg,Emma was glad that Rachel blamed herself.,herself,4.34375,+Local,Coarg
28,+Local+Picture,Emma was glad that Rachel found a picture of herself.,herself,4.6875,+Local,Picture
28,-Local+Coarg,Emma was glad that Tom blamed herself.,herself,7.9375,-Local,Coarg
28,-Local+Picture,Emma was glad that Tom found a picture of herself.,herself,8.375,-Local,Picture
29,+Local+Coarg,Robert thought that Daniel admired himself.,himself,8.5,+Local,Coarg
29,+Local+Picture,Robert thought that Daniel bought a picture of himself.,himself,5.03125,+Local,Picture
29,-Local+Coarg,Robert thought that Mary admired himself.,himself,10.5,-Local,Coarg
29,-Local+Picture,Robert thought that Mary bought a picture of himself.,himself,6.3125,-Local,Picture
30,+Local+Coarg,Mary thinks that Anna humiliated herself.,herself,5.90625,+Local,Coarg
30,+Local+Picture,Mary thinks that Anna looked at a picture of herself.,herself,4.40625,+Local,Picture
30,-Local+Coarg,Mary thinks that John humiliated herself.,herself,9.25,-Local,Coarg
30,-Local+Picture,Mary thinks that John looked at a picture of herself.,herself,7.5625,-Local,Picture
31,+Local+Coarg,Daniel believes that Peter photographed himself.,himself,5.90625,+Local,Coarg
31,+Local+Picture,Daniel believes that Peter saw a picture of himself.,himself,3.515625,+Local,Picture
31,-Local+Coarg,Daniel believes that Laura photographed himself.,himself,10.625,-Local,Coarg
31,-Local+Picture,Daniel believes that Laura saw a picture of himself.,himself,7.625,-Local,Picture
32,+Local+Coarg,Hannah was glad that Rebecca criticized herself.,herself,19.125,+Local,Coarg
32,+Local+Picture,Hannah was glad that Rebecca liked a picture of herself.,herself,3.71875,+Local,Picture
32,-Local+Coarg,Hannah was glad that James criticized herself.,herself,18.0,-Local,Coarg
32,-Local+Picture,Hannah was glad that James liked a picture of herself.,herself,3.875,-Local,Picture
