item_id,condition,sentence,target
1,+Head+Distractor,The mothers of the boys humiliated themselves.,themselves
1,+Head-Distractor,The mothers of the boy humiliated themselves.,themselves
1,-Head+Distractor,The mother of the boys humiliated themselves.,themselves
1,-Head-Distractor,The mother of the boy humiliated themselves.,themselves
2,+Head+Distractor,The teachers of the students embarrassed themselves.,themselves
2,+Head-Distractor,The teachers of the student embarrassed themselves.,themselves
2,-Head+Distractor,The teacher of the students embarrassed themselves.,themselves
2,-Head-Distractor,The teacher of the student embarrassed themselves.,themselves
3,+Head+Distractor,The friends of the actors criticized themselves.,themselves
3,+Head-Distractor,The friends of the actor criticized themselves.,themselves
3,-Head+Distractor,The friend of the actors criticized themselves.,themselves
3,-Head-Distractor,The friend of the actor criticized themselves.,themselves
4,+Head+Distractor,The neighbors of the doctors blamed themselves.,themselves
4,+Head-Distractor,The neighbors of the doctor blamed themselves.,themselves
4,-Head+Distractor,The neighbor of the doctors blamed themselves.,themselves
4,-Head-Distractor,The neighbor of the doctor blamed themselves.,themselves
5,+Head+Distractor,The sisters of the managers praised themselves.,themselves
5,+Head-Distractor,The sisters of the manager praised themselves.,themselves
5,-Head+Distractor,The sister of the managers praised themselves.,themselves
5,-Head-Distractor,The sister of the manager praised themselves.,themselves
6,+Head+Distractor,The colleagues of the lawyers questioned themselves.,themselves
6,+Head-Distractor,The colleagues of the lawyer questioned themselves.,themselves
6,-Head+Distractor,The colleague of the lawyers questioned themselves.,themselves
6,-Head-Distractor,The colleague of the lawyer questioned themselves.,themselves
7,+Head+Distractor,The assistants of the professors defended themselves.,themselves
7,+Head-Distractor,The assistants of the professor defended themselves.,themselves
7,-Head+Distractor,The assistant of the professors defended themselves.,themselves
7,-Head-Distractor,The assistant of the professor defended themselves.,themselves
8,+Head+Distractor,The cousins of the musicians reassured themselves.,themselves
8,+Head-Distractor,The cousins of the musician reassured themselves.,themselves
8,-Head+Distractor,The cousin of the musicians reassured themselves.,themselves
8,-Head-Distractor,The cousin of the musician reassured themselves.,themselves
9,+Head+Distractor,The fans of the singers challenged themselves.,themselves
9,+Head-Distractor,The fans of the singer challenged themselves.,themselves
9,-Head+Distractor,The fan of the singers challenged themselves.,themselves
9,-Head-Distractor,The fan of the singer challenged themselves.,themselves
10,+Head+Distractor,The relatives of the patients criticized themselves.,themselves
10,+Head-Distractor,The relatives of the patient criticized themselves.,themselves
10,-Head+Distractor,The relative of the patients criticized themselves.,themselves
10,-Head-Distractor,The relative of the patient criticized themselves.,themselves
11,+Head+Distractor,The fathers of the girls congratulated themselves.,themselves
11,+Head-Distractor,The fathers of the girl congratulated themselves.,themselves
11,-Head+Distractor,The father of the girls congratulated themselves.,themselves
11,-Head-Distractor,The father of the girl congratulated themselves.,themselves
12,+Head+Distractor,The brothers of the dancers challenged themselves.,themselves
12,+Head-Distractor,The brothers of the dancer challenged themselves.,themselves
12,-Head+Distractor,The brother of the dancers challenged themselves.,themselves
12,-Head-Distractor,The brother of the dancer challenged themselves.,themselves
13,+Head+Distractor,The partners of the designers praised themselves.,themselves
13,+Head-Distractor,The partners of the designer praised themselves.,themselves
13,-Head+Distractor,The partner of the designers praised themselves.,themselves
13,-Head-Distractor,The partner of the designer praised themselves.,themselves
14,+Head+Distractor,The lawyers of the politicians reassured themselves.,themselves
14,+Head-Distractor,The lawyers of the politician reassured themselves.,themselves
14,-Head+Distractor,The lawyer of the politicians reassured themselves.,themselves
14,-Head-Distractor,The lawyer of the politician reassured themselves.,themselves
15,+Head+Distractor,The advisors of the scientists blamed themselves.,themselves
15,+Head-Distractor,The advisors of the scientist blamed themselves.,themselves
15,-Head+Distractor,The advisor of the scientists blamed themselves.,themselves
15,-Head-Distractor,The advisor of the scientist blamed themselves.,themselves
