item_id,target,matrix_antecedent,local_matching,local_mismatching,matrix_frame,coarg_verb,picture_frame,condition,local_match,context_type,sentence
1,himself,John,Bill,Mary,believes that,criticized,saw a picture of,+Local+Coarg,1,coarg,John believes that Bill criticized himself.
1,himself,John,Bill,Mary,believes that,criticized,saw a picture of,+Local+Picture,1,picture_np,John believes that Bill saw a picture of himself.
1,himself,John,Bill,Mary,believes that,criticized,saw a picture of,-Local+Coarg,0,coarg,John believes that Mary criticized himself.
1,himself,John,Bill,Mary,believes that,criticized,saw a picture of,-Local+Picture,0,picture_np,John believes that Mary saw a picture of himself.
2,herself,Sarah,Emma,Daniel,thinks that,praised,liked a picture of,+Local+Coarg,1,coarg,Sarah thinks that Emma praised herself.
2,herself,Sarah,Emma,Daniel,thinks that,praised,liked a picture of,+Local+Picture,1,picture_np,Sarah thinks that Emma liked a picture of herself.
2,herself,Sarah,Emma,Daniel,thinks that,praised,liked a picture of,-Local+Coarg,0,coarg,Sarah thinks that Daniel praised herself.
2,herself,Sarah,Emma,Daniel,thinks that,praised,liked a picture of,-Local+Picture,0,picture_np,Sarah thinks that Daniel liked a picture of herself.
3,himself,Peter,James,Laura,was glad that,defended,found a picture of,+Local+Coarg,1,coarg,Peter was glad that James defended himself.
3,himself,Peter,James,Laura,was glad that,defended,found a picture of,+Local+Picture,1,picture_np,Peter was glad that James found a picture of himself.
3,himself,Peter,James,Laura,was glad that,defended,found a picture of,-Local+Coarg,0,coarg,Peter was glad that Laura defended himself.
3,himself,Peter,James,Laura,was glad that,defended,found a picture of,-Local+Picture,0,picture_np,Peter was glad that Laura found a picture of himself.
4,herself,Rachel,Hannah,Michael,believes that,embarrassed,bought a picture of,+Local+Coarg,1,coarg,Rachel believes that Hannah embarrassed herself.
4,herself,Rachel,Hannah,Michael,believes that,embarrassed,bought a picture of,+Local+Picture,1,picture_np,Rachel believes that Hannah bought a picture of herself.
4,herself,Rachel,Hannah,Michael,believes that,embarrassed,bought a picture of,-Local+Coarg,0,coarg,Rachel believes that Michael embarrassed herself.
4,herself,Rachel,Hannah,Michael,believes that,embarrassed,bought a picture of,-Local+Picture,0,picture_np,Rachel believes that Michael bought a picture of herself.
5,himself,David,Tom,Susan,thinks that,blamed,looked at a picture of,+Local+Coarg,1,coarg,David thinks that Tom blamed himself.
5,himself,David,Tom,Susan,thinks that,blamed,looked at a picture of,+Local+Picture,1,picture_np,David thinks that Tom looked at a picture of himself.
5,himself,David,Tom,Susan,thinks that,blamed,looked at a picture of,-Local+Coarg,0,coarg,David thinks that Susan blamed himself.
5,himself,David,Tom,Susan,thinks that,blamed,looked at a picture of,-Local+Picture,0,picture_np,David thinks that Susan looked at a picture of himself.
6,herself,Laura,Mary,Robert,thought that,admired,saw a picture of,+Local+Coarg,1,coarg,Laura thought that Mary admired herself.
6,herself,Laura,Mary,Robert,thought that,admired,saw a picture of,+Local+Picture,1,picture_np,Laura thought that Mary saw a picture of herself.
6,herself,Laura,Mary,Robert,thought that,admired,saw a picture of,-Local+Coarg,0,coarg,Laura thought that Robert admired herself.
6,herself,Laura,Mary,Robert,thought that,admired,saw a picture of,-Local+Picture,0,picture_np,Laura thought that Robert saw a picture of herself.
7,himself,Michael,Daniel,Anna,believes that,humiliated,liked a picture of,+Local+Coarg,1,coarg,Michael believes that Daniel humiliated himself.
7,himself,Michael,Daniel,Anna,believes that,humiliated,liked a picture of,+Local+Picture,1,picture_np,Michael believes that Daniel liked a picture of himself.
7,himself,Michael,Daniel,Anna,believes that,humiliated,liked a picture of,-Local+Coarg,0,coarg,Michael believes that Anna humiliated himself.
7,himself,Michael,Daniel,Anna,believes that,humiliated,liked a picture of,-Local+Picture,0,picture_np,Michael believes that Anna liked a picture of himself.
8,herself,Rebecca,Emily,Ben,was glad that,photographed,found a picture of,+Local+Coarg,1,coarg,Rebecca was glad that Emily photographed herself.
8,herself,Rebecca,Emily,Ben,was glad that,photographed,found a picture of,+Local+Picture,1,picture_np,Rebecca was glad that Emily found a picture of herself.
8,herself,Rebecca,Emily,Ben,was glad that,photographed,found a picture of,-Local+Coarg,0,coarg,Rebecca was glad that Ben photographed herself.
8,herself,Rebecca,Emily,Ben,was glad that,photographed,found a picture of,-Local+Picture,0,picture_np,Rebecca was glad that Ben found a picture of herself.
9,himself,James,Peter,Hannah,was upset that,praised,bought a picture of,+Local+Coarg,1,coarg,James was upset that Peter praised himself.
9,himself,James,Peter,Hannah,was upset that,praised,bought a picture of,+Local+Picture,1,picture_np,James was upset that Peter bought a picture of himself.
9,himself,James,Peter,Hannah,was upset that,praised,bought a picture of,-Local+Coarg,0,coarg,James was upset that Hannah praised himself.
9,himself,James,Peter,Hannah,was upset that,praised,bought a picture of,-Local+Picture,0,picture_np,James was upset that Hannah bought a picture of himself.
10,herself,Emma,Susan,David,thinks that,defended,looked at a picture of,+Local+Coarg,1,coarg,Emma thinks that Susan defended herself.
10,herself,Emma,Susan,David,thinks that,defended,looked at a picture of,+Local+Picture,1,picture_np,Emma thinks that Susan looked at a picture of herself.
10,herself,Emma,Susan,David,thinks that,defended,looked at a picture of,-Local+Coarg,0,coarg,Emma thinks that David defended herself.
10,herself,Emma,Susan,David,thinks that,defended,looked at a picture of,-Local+Picture,0,picture_np,Emma thinks that David looked at a picture of herself.
11,himself,Robert,Ben,Rachel,believes that,embarrassed,saw a picture of,+Local+Coarg,1,coarg,Robert believes that Ben embarrassed himself.
11,himself,Robert,Ben,Rachel,believes that,embarrassed,saw a picture of,+Local+Picture,1,picture_np,Robert believes that Ben saw a picture of himself.
11,himself,Robert,Ben,Rachel,believes that,embarrassed,saw a picture of,-Local+Coarg,0,coarg,Robert believes that Rachel embarrassed himself.
11,himself,Robert,Ben,Rachel,believes that,embarrassed,saw a picture of,-Local+Picture,0,picture_np,Robert believes that Rachel saw a picture of himself.
12,herself,Mary,Anna,Tom,was glad that,blamed,liked a picture of,+Local+Coarg,1,coarg,Mary was glad that Anna blamed herself.
12,herself,Mary,Anna,Tom,was glad that,blamed,liked a picture of,+Local+Picture,1,picture_np,Mary was glad that Anna liked a picture of herself.
12,herself,Mary,Anna,Tom,was glad that,blamed,liked a picture of,-Local+Coarg,0,coarg,Mary was glad that Tom blamed herself.
12,herself,Mary,Anna,Tom,was glad that,blamed,liked a picture of,-Local+Picture,0,picture_np,Mary was glad that Tom liked a picture of herself.
13,himself,Daniel,Michael,Laura,thinks that,admired,found a picture of,+Local+Coarg,1,coarg,Daniel thinks that Michael admired himself.
13,himself,Daniel,Michael,Laura,thinks that,admired,found a picture of,+Local+Picture,1,picture_np,Daniel thinks that Michael found a picture of himself.
13,himself,Daniel,Michael,Laura,thinks that,admired,found a picture of,-Local+Coarg,0,coarg,Daniel thinks that Laura admired himself.
13,himself,Daniel,Michael,Laura,thinks that,admired,found a picture of,-Local+Picture,0,picture_np,Daniel thinks that Laura found a picture of himself.
14,herself,Hannah,Rachel,James,thought that,criticized,bought a picture of,+Local+Coarg,1,coarg,Hannah thought that Rachel criticized herself.
14,herself,Hannah,Rachel,James,thought that,criticized,bought a picture of,+Local+Picture,1,picture_np,Hannah thought that Rachel bought a picture of herself.
14,herself,Hannah,Rachel,James,thought that,criticized,bought a picture of,-Local+Coarg,0,coarg,Hannah thought that James criticized herself.
14,herself,Hannah,Rachel,James,thought that,criticized,bought a picture of,-Local+Picture,0,picture_np,Hannah thought that James bought a picture of herself.
15,himself,Ben,John,Emily,believes that,photographed,looked at a picture of,+Local+Coarg,1,coarg,Ben believes that John photographed himself.
15,himself,Ben,John,Emily,believes that,photographed,looked at a picture of,+Local+Picture,1,picture_np,Ben believes that John looked at a picture of himself.
15,himself,Ben,John,Emily,believes that,photographed,looked at a picture of,-Local+Coarg,0,coarg,Ben believes that Emily photographed himself.
15,himself,Ben,John,Emily,believes that,photographed,looked at a picture of,-Local+Picture,0,picture_np,Ben believes that Emily looked at a picture of himself.
16,herself,Susan,Rebecca,Peter,was glad that,humiliated,saw a picture of,+Local+Coarg,1,coarg,Susan was glad that Rebecca humiliated herself.
16,herself,Susan,Rebecca,Peter,was glad that,humiliated,saw a picture of,+Local+Picture,1,picture_np,Susan was glad that Rebecca saw a picture of herself.
16,herself,Susan,Rebecca,Peter,was glad that,humiliated,saw a picture of,-Local+Coarg,0,coarg,Susan was glad that Peter humiliated herself.
16,herself,Susan,Rebecca,Peter,was glad that,humiliated,saw a picture of,-Local+Picture,0,picture_np,Susan was glad that Peter saw a picture of herself.
17,himself,Tom,Robert,Emma,thinks that,defended,liked a picture of,+Local+Coarg,1,coarg,Tom thinks that Robert defended himself.
17,himself,Tom,Robert,Emma,thinks that,defended,liked a picture of,+Local+Picture,1,picture_np,Tom thinks that Robert liked a picture of himself.
