experiment,item_id,condition,sentence,target
1,1,+Local+Matrix,Susan believes that Rebecca blamed herself.,herself
1,1,+Local-Matrix,David believes that Rebecca blamed herself.,herself
1,1,-Local+Matrix,Susan believes that Peter blamed herself.,herself
1,1,-Local-Matrix,David believes that Peter blamed herself.,herself
1,2,+Local+Matrix,Ben heard that Michael praised himself.,himself
1,2,+Local-Matrix,Rachel heard that Michael praised himself.,himself
1,2,-Local+Matrix,Ben heard that Rebecca praised himself.,himself
1,2,-Local-Matrix,Rachel heard that Rebecca praised himself.,himself
1,3,+Local+Matrix,Laura believes that Sarah humiliated herself.,herself
1,3,+Local-Matrix,Peter believes that Sarah humiliated herself.,herself
1,3,-Local+Matrix,Laura believes that Robert humiliated herself.,herself
1,3,-Local-Matrix,Peter believes that Robert humiliated herself.,herself
1,4,+Local+Matrix,Emma believes that Laura defended herself.,herself
1,4,+Local-Matrix,Daniel believes that Laura defended herself.,herself
1,4,-Local+Matrix,Emma believes that James defended herself.,herself
1,4,-Local-Matrix,Daniel believes that James defended herself.,herself
1,5,+Local+Matrix,Anna thinks that Susan praised herself.,herself
1,5,+Local-Matrix,John thinks that Susan praised herself.,herself
1,5,-Local+Matrix,Anna thinks that Tom praised herself.,herself
1,5,-Local-Matrix,John thinks that Tom praised herself.,herself
1,6,+Local+Matrix,Susan thinks that Sarah criticized herself.,herself
1,6,+Local-Matrix,James thinks that Sarah criticized herself.,herself
1,6,-Local+Matrix,Susan thinks that Tom criticized herself.,herself
1,6,-Local-Matrix,James thinks that Tom criticized herself.,herself
1,7,+Local+Matrix,Hannah thinks that Emily embarrassed herself.,herself
1,7,+Local-Matrix,Robert thinks that Emily embarrassed herself.,herself
1,7,-Local+Matrix,Hannah thinks that Bill embarrassed herself.,herself
1,7,-Local-Matrix,Robert thinks that Bill embarrassed herself.,herself
1,8,+Local+Matrix,Michael said that Bill admired himself.,himself
1,8,+Local-Matrix,Sarah said that Bill admired himself.,himself
1,8,-Local+Matrix,Michael said that Emily admired himself.,himself
1,8,-Local-Matrix,Sarah said that Emily admired himself.,himself
1,9,+Local+Matrix,James heard that Michael criticized himself.,himself
1,9,+Local-Matrix,Emily heard that Michael criticized himself.,himself
1,9,-Local+Matrix,James heard that Rachel criticized himself.,himself
1,9,-Local-Matrix,Emily heard that Rachel criticized himself.,himself
1,10,+Local+Matrix,James said that John defended himself.,himself
1,10,+Local-Matrix,Hannah said that John defended himself.,himself
1,10,-Local+Matrix,James said that Rachel defended himself.,himself
1,10,-Local-Matrix,Hannah said that Rachel defended himself.,himself
1,11,+Local+Matrix,Rebecca thinks that Sarah criticized herself.,herself
1,11,+Local-Matrix,John thinks that Sarah criticized herself.,herself
1,11,-Local+Matrix,Rebecca thinks that Peter criticized herself.,herself
1,11,-Local-Matrix,John thinks that Peter criticized herself.,herself
1,12,+Local+Matrix,Laura believes that Hannah blamed herself.,herself
1,12,+Local-Matrix,Michael believes that Hannah blamed herself.,herself
1,12,-Local+Matrix,Laura believes that David blamed herself.,herself
1,12,-Local-Matrix,Michael believes that David blamed herself.,herself
1,13,+Local+Matrix,Sarah said that Susan blamed herself.,herself
1,13,+Local-Matrix,Tom said that Susan blamed herself.,herself
1,13,-Local+Matrix,Sarah said that Robert blamed herself.,herself
1,13,-Local-Matrix,Tom said that Robert blamed herself.,herself
1,14,+Local+Matrix,Bill heard that John admired himself.,himself
1,14,+Local-Matrix,Emma heard that John admired himself.,himself
1,14,-Local+Matrix,Bill heard that Rachel admired himself.,himself
1,14,-Local-Matrix,Emma heard that Rachel admired himself.,himself
1,15,+Local+Matrix,Bill thinks that Daniel photographed himself.,himself
1,15,+Local-Matrix,Mary thinks that Daniel photographed himself.,himself
1,15,-Local+Matrix,Bill thinks that Emily photographed himself.,himself
1,15,-Local-Matrix,Mary thinks that Emily photographed himself.,himself
1,16,+Local+Matrix,John believes that Michael admired himself.,himself
1,16,+Local-Matrix,Anna believes that Michael admired himself.,himself
1,16,-Local+Matrix,John believes that Mary admired himself.,himself
1,16,-Local-Matrix,Anna believes that Mary admired himself.,himself
1,17,+Local+Matrix,Rebecca said that Emma embarrassed herself.,herself
1,17,+Local-Matrix,Daniel said that Emma embarrassed herself.,herself
1,17,-Local+Matrix,Rebecca said that David embarrassed herself.,herself
1,17,-Local-Matrix,Daniel said that David embarrassed herself.,herself
1,18,+Local+Matrix,Ben believes that Daniel criticized himself.,himself
1,18,+Local-Matrix,Emma believes that Daniel criticized himself.,himself
1,18,-Local+Matrix,Ben believes that Hannah criticized himself.,himself
1,18,-Local-Matrix,Emma believes that Hannah criticized himself.,himself
1,19,+Local+Matrix,Susan believes that Laura praised herself.,herself
1,19,+Local-Matrix,Robert believes that Laura praised herself.,herself
1,19,-Local+Matrix,Susan believes that James praised herself.,herself
1,19,-Local-Matrix,Robert believes that James praised herself.,herself
1,20,+Local+Matrix,Tom believes that James humiliated himself.,himself
1,20,+Local-Matrix,Sarah believes that James humiliated himself.,himself
1,20,-Local+Matrix,Tom believes that Hannah humiliated himself.,himself
1,20,-Local-Matrix,Sarah believes that Hannah humiliated himself.,himself
1,21,+Local+Matrix,Peter said that David photographed himself.,himself
1,21,+Local-Matrix,Anna said that David photographed himself.,himself
1,21,-Local+Matrix,Peter said that Emma photographed himself.,himself
1,21,-Local-Matrix,Anna said that Emma photographed himself.,himself
1,22,+Local+Matrix,Tom thinks that Peter praised himself.,himself
1,22,+Local-Matrix,Sarah thinks that Peter praised himself.,himself
1,22,-Local+Matrix,Tom thinks that Rebecca praised himself.,himself
1,22,-Local-Matrix,Sarah thinks that Rebecca praised himself.,himself
1,23,+Local+Matrix,Laura said that Emma admired herself.,herself
1,23,+Local-Matrix,David said that Emma admired herself.,herself
1,23,-Local+Matrix,Laura said that Bill admired herself.,herself
1,23,-Local-Matrix,David said that Bill admired herself.,herself
1,24,+Local+Matrix,Peter thinks that Ben photographed himself.,himself
1,24,+Local-Matrix,Rachel thinks that Ben photographed himself.,himself
1,24,-Local+Matrix,Peter thinks that Anna photographed himself.,himself
1,24,-Local-Matrix,Rachel thinks that Anna photographed himself.,himself
1,25,+Local+Matrix,Mary heard that Emma photographed herself.,herself
1,25,+Local-Matrix,Michael heard that Emma photographed herself.,herself
1,25,-Local+Matrix,Mary heard that Daniel photographed herself.,herself
1,25,-Local-Matrix,Michael heard that Daniel photographed herself.,herself
1,26,+Local+Matrix,Rebecca thinks that Anna humiliated herself.,herself
1,26,+Local-Matrix,Robert thinks that Anna humiliated herself.,herself
1,26,-Local+Matrix,Rebecca thinks that Ben humiliated herself.,herself
1,26,-Local-Matrix,Robert thinks that Ben humiliated herself.,herself
1,27,+Local+Matrix,John heard that James embarrassed himself.,himself
1,27,+Local-Matrix,Hannah heard that James embarrassed himself.,himself
1,27,-Local+Matrix,John heard that Laura embarrassed himself.,himself
1,27,-Local-Matrix,Hannah heard that Laura embarrassed himself.,himself
1,28,+Local+Matrix,James heard that Robert blamed himself.,himself
1,28,+Local-Matrix,Rachel heard that Robert blamed himself.,himself
1,28,-Local+Matrix,James heard that Sarah blamed himself.,himself
1,28,-Local-Matrix,Rachel heard that Sarah blamed himself.,himself
1,29,+Local+Matrix,Daniel said that John defended himself.,himself
1,29,+Local-Matrix,Emily said that John defended himself.,himself
1,29,-Local+Matrix,Daniel said that Mary defended himself.,himself
1,29,-Local-Matrix,Emily said that Mary defended himself.,himself
1,30,+Local+Matrix,Emma said that Mary embarrassed herself.,herself
1,30,+Local-Matrix,Ben said that Mary embarrassed herself.,herself
1,30,-Local+Matrix,Emma said that John embarrassed herself.,herself
1,30,-Local-Matrix,Ben said that John embarrassed herself.,herself
1,31,+Local+Matrix,Emily heard that Anna humiliated herself.,herself
1,31,+Local-Matrix,David heard that Anna humiliated herself.,herself
1,31,-Local+Matrix,Emily heard that Ben humiliated herself.,herself
1,31,-Local-Matrix,David heard that Ben humiliated herself.,herself
1,32,+Local+Matrix,Bill heard that Tom defended himself.,himself
1,32,+Local-Matrix,Mary heard that Tom defended himself.,himself
1,32,-Local+Matrix,Bill heard that Susan defended himself.,himself
1,32,-Local-Matrix,Mary heard that Susan defended himself.,himself
2,1,+Head+Distractor,The mothers of the boys humiliated themselves.,themselves
2,1,+Head-Distractor,The mothers of the boy humiliated themselves.,themselves
2,1,-Head+Distractor,The mother of the boys humiliated themselves.,themselves
2,1,-Head-Distractor,The mother of the boy humiliated themselves.,themselves
2,2,+Head+Distractor,The teachers of the students embarrassed themselves.,themselves
2,2,+Head-Distractor,The teachers of the student embarrassed themselves.,themselves
2,2,-Head+Distractor,The teacher of the students embarrassed themselves.,themselves
2,2,-Head-Distractor,The teacher of the student embarrassed themselves.,themselves
2,3,+Head+Distractor,The friends of the actors criticized themselves.,themselves
2,3,+Head-Distractor,The friends of the actor criticized themselves.,themselves
2,3,-Head+Distractor,The friend of the actors criticized themselves.,themselves
2,3,-Head-Distractor,The friend of the actor criticized themselves.,themselves
2,4,+Head+Distractor,The neighbors of the doctors blamed themselves.,themselves
2,4,+Head-Distractor,The neighbors of the doctor blamed themselves.,themselves
2,4,-Head+Distractor,The neighbor of the doctors blamed themselves.,themselves
2,4,-Head-Distractor,The neighbor of the doctor blamed themselves.,themselves
2,5,+Head+Distractor,The sisters of the managers praised themselves.,themselves
2,5,+Head-Distractor,The sisters of the manager praised themselves.,themselves
2,5,-Head+Distractor,The sister of the managers praised themselves.,themselves
